uuid,model,isl,layer,K,N,cr,hit,cs,T,v256,mbpm,wpr,gpu,us_prod_nsys,us_timed_nsys,overhead,window_cyc,exact,mono,csv_pr_us,p4frac_drift_vs_9e,cyc_p1_gather_stats,frac_p1_gather_stats,us_p1_gather_stats,cyc_smem_stage,frac_smem_stage,us_smem_stage,cyc_p1b_rungs,frac_p1b_rungs,us_p1b_rungs,cyc_p2_count_admission,frac_p2_count_admission,us_p2_count_admission,cyc_p3_collect,frac_p3_collect,us_p3_collect,cyc_p4_select,frac_p4_select,us_p4_select,cyc_epilogue,frac_epilogue,us_epilogue,cyc_p4_peer_wait,frac_p4_peer_wait,us_p4_peer_wait,cyc_p4_dsmem_gather,frac_p4_dsmem_gather,us_p4_dsmem_gather,cyc_p4_minmax,frac_p4_minmax,us_p4_minmax,cyc_p4_coarse_hist,frac_p4_coarse_hist,us_p4_coarse_hist,cyc_p4_coarse_search,frac_p4_coarse_search,us_p4_coarse_search,cyc_p4_fine,frac_p4_fine,us_p4_fine,cyc_p4_scatter,frac_p4_scatter,us_p4_scatter,cyc_p4_tail,frac_p4_tail,us_p4_tail,p4share_p4_peer_wait,p4share_p4_dsmem_gather,p4share_p4_minmax,p4share_p4_coarse_hist,p4share_p4_coarse_search,p4share_p4_fine,p4share_p4_scatter,p4share_p4_tail
flash_1024k_L22,flash,1024k,22,512,262127,4,0.422,8,512,True,1,False,2,19.158,19.955,0.0416,35415.5,True,True,21.04,-0.01204,3165.0,0.08932,1.7112,124.0,0.0035,0.067,726.0,0.02049,0.3925,8073.0,0.22783,4.3647,7468.5,0.21077,4.0379,15754.5,0.4446,8.5177,124.0,0.0035,0.067,3496.5,0.09867,1.8904,5574.5,0.15732,3.0139,633.0,0.01786,0.3422,574.0,0.0162,0.3103,1415.0,0.03993,0.765,2784.0,0.07857,1.5052,826.5,0.02332,0.4468,421.0,0.01188,0.2276,0.22194,0.35384,0.04018,0.03643,0.08982,0.17671,0.05246,0.02672
flash_1024k_L24,flash,1024k,24,512,262127,4,0.488,8,512,True,1,False,3,20.868,21.688,0.0393,39116.5,True,True,20.27,-0.00541,2817.5,0.07237,1.5102,125.0,0.00321,0.067,741.5,0.01905,0.3974,8176.5,0.21001,4.3826,6340.5,0.16285,3.3985,20573.0,0.52841,11.027,160.0,0.00411,0.0858,3365.5,0.08644,1.8039,5902.0,0.15159,3.1634,1010.5,0.02595,0.5416,1053.5,0.02706,0.5647,1366.0,0.03509,0.7322,4947.5,0.12707,2.6518,2259.0,0.05802,1.2108,651.0,0.01672,0.3489,0.16359,0.28688,0.04912,0.05121,0.0664,0.24049,0.1098,0.03164
flash_1024k_L26,flash,1024k,26,512,262127,4,0.578,8,512,True,1,False,4,19.87,20.913,0.0525,37411.5,True,True,19.25,-0.02957,3222.0,0.08639,1.7166,122.0,0.00327,0.065,722.0,0.01936,0.3847,8150.5,0.21854,4.3424,7461.5,0.20006,3.9753,17489.5,0.46894,9.3179,128.0,0.00343,0.0682,3474.0,0.09315,1.8509,5255.5,0.14092,2.8,719.5,0.01929,0.3833,807.0,0.02164,0.4299,1427.0,0.03826,0.7603,3691.0,0.09897,1.9665,1542.0,0.04135,0.8215,522.5,0.01401,0.2784,0.19863,0.30049,0.04114,0.04614,0.08159,0.21104,0.08817,0.02988
flash_1024k_L28,flash,1024k,28,512,262127,4,0.66,8,512,True,1,False,5,19.676,20.278,0.0306,36458.0,True,True,18.65,0.02674,2773.5,0.07668,1.5088,126.0,0.00348,0.0685,742.0,0.02051,0.4036,8176.5,0.22606,4.448,6323.0,0.17482,3.4397,17891.5,0.49466,9.733,137.0,0.00379,0.0745,3451.5,0.09543,1.8776,5561.5,0.15376,3.0255,656.5,0.01815,0.3571,694.0,0.01919,0.3775,1413.5,0.03908,0.7689,4424.0,0.12231,2.4067,1189.5,0.03289,0.6471,447.0,0.01236,0.2432,0.19291,0.31085,0.03669,0.03879,0.079,0.24727,0.06648,0.02498
flash_1024k_L30,flash,1024k,30,512,262127,4,0.514,8,512,True,1,False,6,20.145,20.216,0.0035,36323.5,True,True,19.3,0.01771,2772.5,0.07636,1.5383,125.0,0.00344,0.0694,742.0,0.02044,0.4117,8230.5,0.22669,4.5667,6261.5,0.17246,3.4742,18025.0,0.49646,10.0012,150.5,0.00415,0.0835,3571.0,0.09836,1.9814,5921.0,0.16308,3.2853,739.5,0.02037,0.4103,816.0,0.02248,0.4528,1375.0,0.03787,0.7629,3516.5,0.09685,1.9511,1583.0,0.0436,0.8783,513.5,0.01414,0.2849,0.19811,0.32849,0.04103,0.04527,0.07628,0.19509,0.08782,0.02849
flash_1024k_L32,flash,1024k,32,512,262127,4,0.424,8,512,True,1,False,7,22.784,23.304,0.0228,42465.0,True,True,22.58,-0.00014,2863.0,0.06768,1.5419,124.0,0.00293,0.0668,743.0,0.01756,0.4002,8178.0,0.19332,4.4044,6312.0,0.14921,3.3995,23938.0,0.56586,12.8923,146.0,0.00345,0.0786,3411.0,0.08063,1.8371,6657.5,0.15737,3.5855,1101.5,0.02604,0.5932,1529.5,0.03615,0.8237,1358.0,0.0321,0.7314,5451.5,0.12886,2.936,4090.5,0.09669,2.203,246.0,0.00582,0.1325,0.14249,0.27811,0.04601,0.06389,0.05673,0.22773,0.17088,0.01028
flash_1024k_L34,flash,1024k,34,512,262127,4,0.379,8,512,True,1,False,0,20.374,21.036,0.0325,37927.5,True,True,19.65,-0.00435,2724.5,0.07206,1.4681,124.0,0.00328,0.0668,743.5,0.01966,0.4006,8198.0,0.21682,4.4176,6350.0,0.16795,3.4217,19516.5,0.51618,10.5166,153.0,0.00405,0.0824,3401.0,0.08995,1.8327,6020.5,0.15923,3.2442,774.0,0.02047,0.4171,939.5,0.02485,0.5063,1370.5,0.03625,0.7385,4623.5,0.12228,2.4914,2143.0,0.05668,1.1548,232.0,0.00614,0.125,0.17426,0.30848,0.03966,0.04814,0.07022,0.2369,0.1098,0.01189
flash_1024k_L36,flash,1024k,36,512,262127,4,0.838,8,512,True,1,False,1,19.158,20.043,0.0462,35634.0,True,True,18.32,-0.03951,3142.0,0.08844,1.6944,122.0,0.00343,0.0658,723.5,0.02037,0.3902,8137.5,0.22906,4.3883,7473.0,0.21036,4.03,15803.5,0.44485,8.5224,124.0,0.00349,0.0669,3484.5,0.09808,1.8791,5541.0,0.15597,2.9881,643.5,0.01811,0.347,684.5,0.01927,0.3691,1301.5,0.03664,0.7019,2812.5,0.07917,1.5167,1079.5,0.03039,0.5821,220.5,0.00621,0.1189,0.22049,0.35062,0.04072,0.04331,0.08236,0.17797,0.06831,0.01395
flash_1024k_L38,flash,1024k,38,512,262127,4,0.619,8,512,True,1,False,2,19.904,20.777,0.0439,36952.0,True,True,19.15,-0.01325,3220.5,0.08717,1.735,122.0,0.0033,0.0657,725.5,0.01964,0.3909,8086.5,0.21888,4.3565,7463.0,0.202,4.0206,17196.5,0.46546,9.2644,131.0,0.00355,0.0706,3470.5,0.09394,1.8697,5875.5,0.15903,3.1653,638.0,0.01727,0.3437,706.0,0.01911,0.3803,1388.5,0.03758,0.748,3121.5,0.08449,1.6817,1194.0,0.03232,0.6433,717.0,0.01941,0.3863,0.20181,0.34167,0.0371,0.04105,0.08074,0.18152,0.06943,0.04169
flash_1024k_L40,flash,1024k,40,512,262127,4,0.381,8,512,True,1,False,3,18.836,19.958,0.0595,35761.0,True,True,21.53,-0.00467,2802.5,0.07866,1.4817,124.0,0.00348,0.0656,743.0,0.02085,0.3928,8108.0,0.22757,4.2867,6341.5,0.17799,3.3527,17378.0,0.48776,9.1877,131.0,0.00368,0.0693,3373.0,0.09467,1.7833,5747.5,0.16132,3.0387,638.0,0.01791,0.3373,574.5,0.01612,0.3037,1407.0,0.03949,0.7439,4164.5,0.11689,2.2018,921.5,0.02586,0.4872,515.5,0.01447,0.2725,0.1941,0.33073,0.03671,0.03306,0.08096,0.23964,0.05303,0.02966
