uuid,dt,cs,N,K,rung,axis,base_us,all_us,ratio
v32_8k_L24,fp32,1,8207,2048,cs1-small,real,11.142,10.006,1.1135
v32_8k_L25,fp32,1,8207,2048,cs1-small,real,10.997,9.83,1.1187
v32_8k_L26,fp32,1,8207,2048,cs1-small,real,10.774,9.771,1.1027
v32_8k_L27,fp32,1,8207,2048,cs1-small,real,10.961,10.061,1.0895
v32_8k_L28,fp32,1,8207,2048,cs1-small,real,11.443,10.294,1.1116
v32_8k_L29,fp32,1,8207,2048,cs1-small,real,10.885,9.76,1.1153
v32_8k_L30,fp32,1,8207,2048,cs1-small,real,10.977,9.755,1.1253
v32_8k_L31,fp32,1,8207,2048,cs1-small,real,10.827,10.051,1.0772
v32_8k_L32,fp32,1,8207,2048,cs1-small,real,10.696,9.706,1.102
v32_8k_L33,fp32,1,8207,2048,cs1-small,real,14.741,12.728,1.1582
v32_8k_L34,fp32,1,8207,2048,cs1-small,real,11.294,10.125,1.1155
v32_8k_L35,fp32,1,8207,2048,cs1-small,real,11.269,10.003,1.1265
v32_8k_L36,fp32,1,8207,2048,cs1-small,real,13.616,12.544,1.0855
v32_8k_L37,fp32,1,8207,2048,cs1-small,real,10.925,9.646,1.1325
v32_8k_L38,fp32,1,8207,2048,cs1-small,real,13.944,12.717,1.0965
v32_8k_L39,fp32,1,8207,2048,cs1-small,real,11.672,9.845,1.1856
v32_8k_L40,fp32,1,8207,2048,cs1-small,real,13.52,12.541,1.0781
v32_8k_L41,fp32,1,8207,2048,cs1-small,real,11.88,10.027,1.1848
v32_8k_L42,fp32,1,8207,2048,cs1-small,real,13.821,12.829,1.0773
v32_8k_L43,fp32,1,8207,2048,cs1-small,real,11.011,9.92,1.11
v32_8k_L44,fp32,1,8207,2048,cs1-small,real,13.651,12.597,1.0837
v32_8k_L45,fp32,1,8207,2048,cs1-small,real,13.518,12.408,1.0895
v32_8k_L46,fp32,1,8207,2048,cs1-small,real,13.486,12.331,1.0937
v32_8k_L47,fp32,1,8207,2048,cs1-small,real,10.854,9.744,1.114
v32_8k_L48,fp32,1,8207,2048,cs1-small,real,10.917,9.857,1.1074
v32_8k_L49,fp32,1,8207,2048,cs1-small,real,13.342,12.339,1.0813
v32_8k_L50,fp32,1,8207,2048,cs1-small,real,11.083,9.97,1.1117
v32_8k_L51,fp32,1,8207,2048,cs1-small,real,14.035,12.252,1.1455
v32_8k_L52,fp32,1,8207,2048,cs1-small,real,13.665,12.632,1.0818
v32_8k_L53,fp32,1,8207,2048,cs1-small,real,13.563,12.598,1.0766
v32_8k_L54,fp32,1,8207,2048,cs1-small,real,13.649,12.597,1.0836
v32_8k_L55,fp32,1,8207,2048,cs1-small,real,13.675,12.574,1.0876
v32_8k_L56,fp32,1,8207,2048,cs1-small,real,13.761,12.56,1.0957
v32_8k_L57,fp32,1,8207,2048,cs1-small,real,13.885,12.781,1.0864
v32_8k_L58,fp32,1,8207,2048,cs1-small,real,14.921,12.561,1.1879
v32_8k_L59,fp32,1,8207,2048,cs1-small,real,14.13,12.883,1.0967
v32_8k_L60,fp32,1,8207,2048,cs1-small,real,13.497,12.457,1.0835
