cuuid,uuid,bs,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
pro_8k_L14_bs8,pro_8k_L14,8,pro,8k,14,2051,1024,0.83,8.289866666666667,9.491066666666667,0.8734388828793391,7.1392,8.620700000000001,True
pro_8k_L30_bs1024,pro_8k_L30,1024,pro,8k,30,2051,1024,0.461,35.860933333333335,17.301066666666667,2.072758519705914,32.5692,15.3566,True
pro_8k_L30_bs128,pro_8k_L30,128,pro,8k,30,2051,1024,0.461,9.4506,10.009466666666667,0.9441661893407574,8.2655,8.9151,True
pro_8k_L30_bs16,pro_8k_L30,16,pro,8k,30,2051,1024,0.461,9.1476,9.572133333333333,0.9556490367873411,8.0031,8.732700000000001,True
pro_8k_L30_bs2,pro_8k_L30,2,pro,8k,30,2051,1024,0.461,8.4734,9.036733333333334,0.9376618394552603,7.4527,8.2527,True
pro_8k_L30_bs256,pro_8k_L30,256,pro,8k,30,2051,1024,0.461,10.777466666666667,10.459666666666665,1.0303833774180187,9.430299999999999,9.4175,True
pro_8k_L30_bs32,pro_8k_L30,32,pro,8k,30,2051,1024,0.461,9.070733333333333,9.663866666666667,0.9386236013190027,7.9808,8.7006,True
pro_8k_L30_bs4,pro_8k_L30,4,pro,8k,30,2051,1024,0.461,9.002533333333332,9.235066666666668,0.9748206112931865,7.7343,8.4222,True
pro_8k_L30_bs512,pro_8k_L30,512,pro,8k,30,2051,1024,0.461,19.637066666666666,12.665333333333335,1.550457942941362,17.471700000000002,11.3278,True
pro_8k_L30_bs64,pro_8k_L30,64,pro,8k,30,2051,1024,0.461,9.309733333333334,9.723666666666666,0.9574303246374825,8.1024,8.787,True
pro_8k_L30_bs8,pro_8k_L30,8,pro,8k,30,2051,1024,0.461,8.697533333333332,9.1072,0.9550172757085967,7.4751,8.2175,True
pro_8k_L46_bs1024,pro_8k_L46,1024,pro,8k,46,2051,1024,0.611,36.917199999999994,17.345933333333335,2.1282913574363245,33.7436,15.606,True
pro_8k_L46_bs128,pro_8k_L46,128,pro,8k,46,2051,1024,0.611,9.6426,10.050066666666668,0.9594563220144475,8.415899999999999,8.9791,True
pro_8k_L46_bs16,pro_8k_L46,16,pro,8k,46,2051,1024,0.611,9.303466666666667,9.691600000000001,0.9599515731836503,8.207799999999999,8.8254,True
pro_8k_L46_bs2,pro_8k_L46,2,pro,8k,46,2051,1024,0.611,8.667533333333333,9.252133333333333,0.9368145724949921,7.7021999999999995,8.348799999999999,True
pro_8k_L46_bs256,pro_8k_L46,256,pro,8k,46,2051,1024,0.611,11.129533333333333,10.6324,1.0467564551120474,9.846200000000001,9.488,True
pro_8k_L46_bs32,pro_8k_L46,32,pro,8k,46,2051,1024,0.611,9.245666666666667,9.777,0.9456547679929086,8.2111,8.8576,True
pro_8k_L46_bs4,pro_8k_L46,4,pro,8k,46,2051,1024,0.611,9.2586,9.405733333333334,0.9843570588151906,7.8975,8.4926,True
pro_8k_L46_bs512,pro_8k_L46,512,pro,8k,46,2051,1024,0.611,20.232266666666668,12.8574,1.5735892689553617,18.1022,11.459,True
pro_8k_L46_bs64,pro_8k_L46,64,pro,8k,46,2051,1024,0.611,9.497466666666668,9.9178,0.9576182890022654,8.3455,8.9216,True
pro_8k_L46_bs8,pro_8k_L46,8,pro,8k,46,2051,1024,0.611,8.904466666666668,9.237266666666667,0.9639720263570033,7.7151000000000005,8.367899999999999,True
v32_128k_L14_bs1024,v32_128k_L14,1024,v32,128k,14,131087,2048,0.904,216.57546666666667,570.1798666666667,0.3798370993574191,207.5592,557.3309,True
v32_128k_L14_bs128,v32_128k_L14,128,v32,128k,14,131087,2048,0.904,34.041599999999995,92.75186666666667,0.3670179504024357,24.7806,77.3271,True
v32_128k_L14_bs16,v32_128k_L14,16,v32,128k,14,131087,2048,0.904,20.556733333333334,32.12746666666667,0.6398491840834011,17.852400000000003,30.7963,True
v32_128k_L14_bs2,v32_128k_L14,2,v32,128k,14,131087,2048,0.904,17.738266666666668,17.247799999999998,1.0284364769226608,16.4158,16.0894,True
