cuuid,uuid,bs,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
flash_32k_L22_bs128,flash_32k_L22,128,flash,32k,22,8195,512,0.686,10.523533333333333,,,8.444700000000001,,
flash_32k_L22_bs16,flash_32k_L22,16,flash,32k,22,8195,512,0.686,9.409933333333333,,,7.9902,,
flash_32k_L22_bs2,flash_32k_L22,2,flash,32k,22,8195,512,0.686,9.3674,,,7.6255,,
flash_32k_L22_bs256,flash_32k_L22,256,flash,32k,22,8195,512,0.686,12.558733333333334,,,10.163200000000002,,
flash_32k_L22_bs32,flash_32k_L22,32,flash,32k,22,8195,512,0.686,9.787666666666667,,,8.24,,
flash_32k_L22_bs4,flash_32k_L22,4,flash,32k,22,8195,512,0.686,9.582799999999999,,,7.916600000000001,,
flash_32k_L22_bs512,flash_32k_L22,512,flash,32k,22,8195,512,0.686,22.644933333333334,,,18.8573,,
flash_32k_L22_bs64,flash_32k_L22,64,flash,32k,22,8195,512,0.686,9.971133333333333,,,8.2431,,
flash_32k_L22_bs8,flash_32k_L22,8,flash,32k,22,8195,512,0.686,9.4356,,,7.7214,,
flash_32k_L34_bs1024,flash_32k_L34,1024,flash,32k,34,8195,512,0.67,39.922466666666665,,,33.5388,,
flash_32k_L34_bs128,flash_32k_L34,128,flash,32k,34,8195,512,0.67,10.3744,,,8.364700000000001,,
flash_32k_L34_bs16,flash_32k_L34,16,flash,32k,34,8195,512,0.67,9.482666666666667,,,8.0768,,
flash_32k_L34_bs2,flash_32k_L34,2,flash,32k,34,8195,512,0.67,9.006866666666667,,,7.7535,,
flash_32k_L34_bs256,flash_32k_L34,256,flash,32k,34,8195,512,0.67,12.5588,,,9.9805,,
flash_32k_L34_bs32,flash_32k_L34,32,flash,32k,34,8195,512,0.67,9.544266666666667,,,8.0446,,
flash_32k_L34_bs4,flash_32k_L34,4,flash,32k,34,8195,512,0.67,9.017466666666667,,,7.5871,,
flash_32k_L34_bs512,flash_32k_L34,512,flash,32k,34,8195,512,0.67,22.418933333333335,,,18.671799999999998,,
flash_32k_L34_bs64,flash_32k_L34,64,flash,32k,34,8195,512,0.67,9.798266666666667,,,8.124600000000001,,
flash_32k_L34_bs8,flash_32k_L34,8,flash,32k,34,8195,512,0.67,9.190266666666666,,,7.5423,,
flash_4k_L10_bs1024,flash_4k_L10,1024,flash,4k,10,1027,512,0.846,32.06993333333333,,,28.4733,,
flash_4k_L10_bs128,flash_4k_L10,128,flash,4k,10,1027,512,0.846,8.590733333333334,,,7.4142,,
flash_4k_L10_bs16,flash_4k_L10,16,flash,4k,10,1027,512,0.846,8.1344,,,7.0078000000000005,,
flash_4k_L10_bs2,flash_4k_L10,2,flash,4k,10,1027,512,0.846,7.632933333333334,,,6.6719,,
flash_4k_L10_bs256,flash_4k_L10,256,flash,4k,10,1027,512,0.846,9.4206,,,8.300799999999999,,
flash_4k_L10_bs32,flash_4k_L10,32,flash,4k,10,1027,512,0.846,8.2814,,,7.1872,,
flash_4k_L10_bs4,flash_4k_L10,4,flash,4k,10,1027,512,0.846,7.8633999999999995,,,6.6495,,
flash_4k_L10_bs512,flash_4k_L10,512,flash,4k,10,1027,512,0.846,17.345933333333335,,,15.2414,,
flash_4k_L10_bs64,flash_4k_L10,64,flash,4k,10,1027,512,0.846,8.405266666666666,,,7.3311,,
flash_4k_L10_bs8,flash_4k_L10,8,flash,4k,10,1027,512,0.846,8.034066666666666,,,6.8607,,
flash_4k_L22_bs1024,flash_4k_L22,1024,flash,4k,22,1027,512,0.639,32.023066666666665,,,28.4701,,
flash_4k_L22_bs128,flash_4k_L22,128,flash,4k,22,1027,512,0.639,8.5502,,,7.3727,,
flash_4k_L22_bs16,flash_4k_L22,16,flash,4k,22,1027,512,0.639,8.0596,,,6.963100000000001,,
flash_4k_L22_bs2,flash_4k_L22,2,flash,4k,22,1027,512,0.639,7.739666666666667,,,6.5823,,
flash_4k_L22_bs256,flash_4k_L22,256,flash,4k,22,1027,512,0.639,9.640533333333332,,,8.403,,
