cuuid,uuid,bs,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
v32_16k_L14_bs128,v32_16k_L14,128,v32,16k,14,16399,2048,0.902,14.3294,15.690333333333333,0.9132629432134435,11.9744,13.7631,True
v32_16k_L14_bs16,v32_16k_L14,16,v32,16k,14,16399,2048,0.902,13.021666666666667,14.7518,0.8827171373436914,11.593399999999999,14.1214,True
v32_16k_L14_bs2,v32_16k_L14,2,v32,16k,14,16399,2048,0.902,12.394466666666666,14.201533333333332,0.8727555240513936,10.9888,13.609399999999999,True
v32_16k_L14_bs256,v32_16k_L14,256,v32,16k,14,16399,2048,0.902,17.921799999999998,21.096400000000003,0.8495193492728615,15.1806,17.8558,True
v32_16k_L14_bs32,v32_16k_L14,32,v32,16k,14,16399,2048,0.902,13.1604,15.639133333333334,0.8415044311918393,11.497399999999999,14.6301,True
v32_16k_L14_bs4,v32_16k_L14,4,v32,16k,14,16399,2048,0.902,12.791333333333334,14.463799999999999,0.884368791972603,11.2544,14.0061,True
v32_16k_L14_bs512,v32_16k_L14,512,v32,16k,14,16399,2048,0.902,33.7512,39.504666666666665,0.8543598224682316,29.106900000000003,33.6668,True
v32_16k_L14_bs64,v32_16k_L14,64,v32,16k,14,16399,2048,0.902,13.572066666666668,14.747533333333333,0.9202940152703504,11.7533,13.491,True
v32_16k_L14_bs8,v32_16k_L14,8,v32,16k,14,16399,2048,0.902,12.612200000000001,14.741200000000001,0.8555748514367895,11.014299999999999,14.108600000000001,True
v32_16k_L34_bs1024,v32_16k_L34,1024,v32,16k,34,16399,2048,0.533,67.88186666666667,84.00966666666667,0.8080244733740958,57.2185,74.0502,True
v32_16k_L34_bs128,v32_16k_L34,128,v32,16k,34,16399,2048,0.533,15.208333333333334,18.04566666666667,0.8427692705543343,12.7391,16.0799,True
v32_16k_L34_bs16,v32_16k_L34,16,v32,16k,34,16399,2048,0.533,13.727733333333333,16.622799999999998,0.8258376045752421,12.396799999999999,15.971200000000001,True
v32_16k_L34_bs2,v32_16k_L34,2,v32,16k,34,16399,2048,0.533,13.1838,15.929266666666667,0.8276463867346896,11.8526,15.3918,True
v32_16k_L34_bs256,v32_16k_L34,256,v32,16k,34,16399,2048,0.533,20.115,24.5224,0.820270446612077,17.2703,21.6252,True
v32_16k_L34_bs32,v32_16k_L34,32,v32,16k,34,16399,2048,0.533,13.687333333333333,16.4114,0.8340137546664717,12.3582,15.574399999999999,True
v32_16k_L34_bs4,v32_16k_L34,4,v32,16k,34,16399,2048,0.533,13.2756,16.2132,0.8188142994596995,12.083,15.779200000000001,True
v32_16k_L34_bs512,v32_16k_L34,512,v32,16k,34,16399,2048,0.533,37.3288,46.175533333333334,0.8084108034124854,32.092400000000005,40.943400000000004,True
v32_16k_L34_bs64,v32_16k_L34,64,v32,16k,34,16399,2048,0.533,14.299533333333333,17.034533333333332,0.8394437965231413,12.553600000000001,15.8269,True
v32_16k_L34_bs8,v32_16k_L34,8,v32,16k,34,16399,2048,0.533,13.269133333333333,16.496933333333335,0.8043393923719154,11.8654,15.8686,True
v32_16k_L54_bs1024,v32_16k_L54,1024,v32,16k,54,16399,2048,0.676,64.52826666666667,82.68273333333333,0.7804321901952928,54.549800000000005,72.3062,True
v32_16k_L54_bs128,v32_16k_L54,128,v32,16k,54,16399,2048,0.676,14.995066666666668,17.00466666666667,0.8818206766769906,12.5854,14.991700000000002,True
v32_16k_L54_bs16,v32_16k_L54,16,v32,16k,54,16399,2048,0.676,13.6808,14.538533333333334,0.9410027604801952,12.2175,13.9455,True
v32_16k_L54_bs2,v32_16k_L54,2,v32,16k,54,16399,2048,0.676,13.143266666666666,13.951866666666668,0.942043597511444,11.6317,13.4526,True
v32_16k_L54_bs256,v32_16k_L54,256,v32,16k,54,16399,2048,0.676,18.7838,23.922933333333333,0.785179632375071,15.9806,20.8188,True
v32_16k_L54_bs32,v32_16k_L54,32,v32,16k,54,16399,2048,0.676,13.7256,15.150666666666666,0.9059403326586289,12.1534,14.255700000000001,True
v32_16k_L54_bs4,v32_16k_L54,4,v32,16k,54,16399,2048,0.676,13.269200000000001,14.389133333333334,0.9221681176072686,11.8781,13.8559,True
v32_16k_L54_bs512,v32_16k_L54,512,v32,16k,54,16399,2048,0.676,35.26166666666666,45.03886666666667,0.7829163848113406,30.4445,39.6412,True
v32_16k_L54_bs64,v32_16k_L54,64,v32,16k,54,16399,2048,0.676,14.180066666666667,15.957133333333333,0.8886349678513685,12.3581,14.7166,True
