scenario,K,dtype,N,BS,hit_rate,layer,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,radix_single_cuda_cold_us,radix_single_cuda_warm_us,radix_multi_cuda_cold_us,radix_multi_cuda_warm_us,op25_hls_cold_us,op25_hls_warm_us,op27_hls_cold_us,op27_hls_warm_us,op26_r0auto_cold_us,op26_r0auto_warm_us,sglang_v2_cold_us,sglang_v2_warm_us,flashinfer_topk_cold_us,flashinfer_topk_warm_us,speedup_vs_base_gvr_multicta_cutedsl,speedup_vs_base_radix_cutedsl,speedup_vs_base_radix_single_cuda,speedup_vs_base_radix_multi_cuda,speedup_vs_base_op25_hls,speedup_vs_base_op27_hls,speedup_vs_base_op26_r0auto,speedup_vs_base_sglang_v2,speedup_vs_base_flashinfer_topk,mc_cluster_size,op25_ms_path,op27_ms_path,r0_arm,sglang_v2_cold_span_us
worst,1024,bf16,16384,1,0.8496,28,14.07,12.666,13.534,12.364,9.946,9.455,19.486,18.219,40.291,35.748,12.899,11.572,12.901,11.584,10.603,9.333,,,,,1.04,1.415,0.722,0.349,1.091,1.091,1.327,,,1,ms_1cta,ms_1cta,1cta,
worst,1024,bf16,32768,1,0.8496,40,15.043,13.443,15.555,13.818,15.155,14.323,24.835,22.5,41.965,37.721,15.408,13.167,15.427,13.167,12.998,11.655,,,,,0.967,0.993,0.606,0.358,0.976,0.975,1.157,,,1,ms_1cta,ms_1cta,1cta,
worst,1024,bf16,65536,1,0.8496,38,18.63,17.391,17.229,15.724,14.885,14.12,35.081,31.615,43.485,39.258,13.237,11.937,13.222,11.942,13.875,12.416,,,,,1.081,1.252,0.531,0.428,1.407,1.409,1.343,,,4,msc_C8,msc_C8,mc,
worst,1024,bf16,131072,1,0.8496,26,27.219,25.709,19.458,18.339,14.523,13.588,56.11,48.304,45.981,41.322,13.531,12.12,13.584,12.153,14.702,13.583,,,,,1.399,1.874,0.485,0.592,2.012,2.004,1.851,,,4,msc_C8,msc_C8,mc,
worst,1024,bf16,262144,1,0.8496,58,84.696,82.713,39.918,38.242,14.6,13.71,95.429,80.646,49.83,44.385,15.078,13.155,15.144,13.164,18.549,17.126,,,,,2.122,5.801,0.888,1.7,5.617,5.593,4.566,,,4,msc_C8,msc_C8,mc,
worst,1024,bf16,524288,1,0.8496,26,63.112,61.029,27.862,25.905,14.733,13.629,177.627,147.382,57.75,50.916,16.293,14.054,16.51,14.236,24.69,23.36,,,,,2.265,4.284,0.355,1.093,3.874,3.823,2.556,,,4,msc_C8,msc_C8,mc,
worst,1024,bf16,1048576,1,0.8496,46,115.507,112.431,42.832,39.854,15.36,14.082,342.111,282.068,74.741,65.289,19.981,16.5,20.126,16.684,36.979,34.959,,,,,2.697,7.52,0.338,1.545,5.781,5.739,3.124,,,4,msc_C8,msc_C8,mc,
worst,1024,fp16,4096,1,0.8496,52,11.757,10.182,11.443,10.242,5.773,4.948,15.245,14.582,39.005,33.757,11.331,10.296,11.339,10.284,11.427,10.21,,,,,1.027,2.037,0.771,0.301,1.038,1.037,1.029,,,1,ms_1cta,ms_1cta,plain,
worst,1024,fp16,8192,1,0.8496,26,12.677,11.424,12.65,11.451,6.83,6.321,17.16,16.255,38.627,34.233,12.73,11.617,12.714,11.612,12.973,11.51,,,,,1.002,1.856,0.739,0.328,0.996,0.997,0.977,,,1,ms_1cta,ms_1cta,plain,
worst,1024,fp16,16384,1,0.8496,28,15.221,13.846,14.558,13.368,9.661,9.167,19.414,18.148,39.784,35.74,13.413,11.966,13.315,11.974,11.867,10.449,,,,,1.046,1.576,0.784,0.383,1.135,1.143,1.283,,,1,ms_1cta,ms_1cta,1cta,
