model,isl,N,K,L,BS,kind,hit,cs,op,path,team,cap,rpw,waves,us,us_span,exact
v32,8k,8207,2048,34,4,A,0.8418,,kf_compB_ext,0,1,0,4,1,8.3361,8.3361,True
v32,8k,8207,2048,34,8,A,0.8418,1,gvr_pr,,,,,,13.5379,13.5379,True
v32,8k,8207,2048,34,8,A,0.8418,,kf_compB,,,,,,62.7722,64.5659,True
v32,8k,8207,2048,34,8,A,0.8418,,kf_compB_ext,0,1,0,8,1,8.3697,8.3697,True
v32,8k,8207,2048,34,16,A,0.8418,1,gvr_pr,,,,,,13.485,13.485,True
v32,8k,8207,2048,34,16,A,0.8418,,kf_compB,,,,,,124.6964,128.5301,True
v32,8k,8207,2048,34,16,A,0.8418,,kf_compB_ext,0,1,0,16,1,8.4065,8.4065,True
v32,8k,8207,2048,34,64,A,0.8418,1,gvr_pr,,,,,,13.9299,13.9299,True
v32,8k,8207,2048,34,64,A,0.8418,,kf_compB,,,,,,496.9202,513.1715,True
v32,8k,8207,2048,34,64,A,0.8418,,kf_compB_ext,0,1,0,64,1,8.6562,8.6562,True
v32,8k,8207,2048,34,256,A,0.8418,1,gvr_pr,,,,,,26.8452,26.8452,True
v32,8k,8207,2048,34,256,A,0.8418,,kf_compB,,,,,,1983.528,2048.8973,True
v32,8k,8207,2048,34,256,A,0.8418,,kf_compB_ext,0,1,0,256,1,16.613,16.613,True
v32,8k,8207,2048,34,1024,A,0.8418,1,gvr_pr,,,,,,90.0367,90.0367,True
v32,8k,8207,2048,34,1024,A,0.8418,,kf_compB,,,,,,7922.2791,8184.6362,True
v32,8k,8207,2048,34,1024,A,0.8418,,kf_compB_ext,0,1,0,1024,1,53.3977,53.3977,True
