cell,BS,arm_us,pr_us,x_arm,x_v3,exact
flash_8k_L10,16,12.569,8.184,0.6511,1.6451,OK
flash_8k_L10,32,12.735,8.357700000000001,0.6563,1.6491,OK
flash_8k_L10,64,12.9,8.389850000000001,0.6504,1.6321,OK
flash_8k_L10,128,13.077,8.8464,0.6765,1.667,OK
flash_8k_L10,256,15.357,9.9229,0.6461,1.2155,OK
flash_8k_L10,512,26.871,18.19975,0.6773,1.2695,OK
flash_8k_L10,1024,41.451,32.665099999999995,0.788,1.2502,OK
flash_8k_L22,2,12.768,8.03345,0.6292,1.7896,OK
flash_8k_L22,4,12.785,7.90715,0.6185,1.7512,OK
flash_8k_L22,8,12.907,8.0111,0.6207,1.759,OK
flash_8k_L22,16,13.078,8.15185,0.6233,1.6749,OK
flash_8k_L22,32,13.244,8.2958,0.6264,1.67,OK
flash_8k_L22,64,13.357,8.4255,0.6308,1.6629,OK
flash_8k_L22,128,13.541,8.79825,0.6498,1.6716,OK
flash_8k_L22,256,16.112,9.8879,0.6137,1.2187,OK
flash_8k_L22,512,28.338,17.8959,0.6315,1.2485,OK
flash_8k_L22,1024,44.169,32.21405,0.7293,1.2355,OK
flash_8k_L34,2,12.162,8.3695,0.6881,1.7108,OK
flash_8k_L34,4,12.037,8.1982,0.6811,1.6643,OK
flash_8k_L34,8,12.095,8.3632,0.6914,1.6993,OK
flash_8k_L34,16,12.429,8.5007,0.6839,1.7331,OK
flash_8k_L34,32,12.558,8.5118,0.6778,1.7275,OK
flash_8k_L34,64,12.76,8.62065,0.6756,1.7046,OK
flash_8k_L34,128,12.87,9.0255,0.7013,1.7378,OK
flash_8k_L34,256,15.254,10.271799999999999,0.6734,1.3829,OK
flash_8k_L34,512,26.627,18.6494,0.7004,1.4418,OK
flash_8k_L34,1024,41.385,33.1742,0.8016,1.4276,OK
pro_1024k_L14,2,33.789,19.7516,0.5846,1.8257,OK
pro_1024k_L14,4,35.436,20.02855,0.5652,1.7687,OK
pro_1024k_L14,8,37.866,22.011,0.5813,1.4747,OK
pro_1024k_L14,16,40.935,23.0688,0.5635,0.9164,OK
pro_1024k_L14,32,43.112,26.2016,0.6078,1.0112,OK
pro_1024k_L14,64,50.464,38.04285,0.7539,1.0323,OK
pro_1024k_L14,128,64.712,62.78635,0.9702,1.0028,OK
pro_1024k_L14,256,95.839,110.46435000000001,1.1526,0.9382,OK
pro_1024k_L14,512,163.489,202.297,1.2374,0.9082,OK
pro_1024k_L14,1024,270.862,381.7207,1.4093,0.9412,OK
pro_1024k_L30,2,28.76,19.814,0.6889,1.6467,OK
pro_1024k_L30,4,30.003,20.145349999999997,0.6714,1.6082,OK
pro_1024k_L30,8,31.529,22.198,0.704,1.3756,OK
pro_1024k_L30,16,33.826,23.020400000000002,0.6806,0.8798,OK
pro_1024k_L30,32,38.189,26.44275,0.6924,0.985,OK
pro_1024k_L30,64,44.755,38.39785,0.858,1.0078,OK
pro_1024k_L30,128,57.925,62.68225,1.0821,1.001,OK
pro_1024k_L30,256,88.311,110.32639999999999,1.2493,0.939,OK
pro_1024k_L30,512,146.668,201.757,1.3756,0.909,OK
pro_1024k_L30,1024,244.955,380.0281,1.5514,0.9384,OK
pro_1024k_L46,2,29.471,20.71025,0.7027,1.9134,OK
pro_1024k_L46,4,31.105,21.131,0.6793,1.8403,OK
pro_1024k_L46,8,31.858,22.953400000000002,0.7205,1.5386,OK
pro_1024k_L46,16,34.637,23.7662,0.6861,0.9525,OK
pro_1024k_L46,32,38.123,27.11495,0.7113,1.0465,OK
pro_1024k_L46,64,44.51,38.847699999999996,0.8728,1.0479,OK
pro_1024k_L46,128,58.489,63.27,1.0817,0.7412,OK
pro_1024k_L46,256,90.14,111.54485000000001,1.2375,0.6823,OK
pro_1024k_L46,512,150.472,204.16639999999998,1.3568,0.6525,OK
pro_1024k_L46,1024,254.039,384.35225,1.513,0.672,OK
pro_128k_L14,2,23.929,12.69585,0.5306,1.4968,OK
pro_128k_L14,4,24.102,12.6607,0.5253,1.4829,OK
pro_128k_L14,8,24.008,12.9888,0.541,1.4841,OK
pro_128k_L14,16,25.45,12.97245,0.5097,1.102,OK
pro_128k_L14,32,26.632,13.3584,0.5016,1.0927,OK
pro_128k_L14,64,27.692,14.172799999999999,0.5118,1.0868,OK
pro_128k_L14,128,31.727,15.03325,0.4738,1.0216,OK
