uuid,model,cs,N,K,band,base_us
pro_256k_L16,pro,4,65539,1024,32k-1M,15.48
pro_256k_L18,pro,4,65539,1024,32k-1M,15.195
pro_256k_L20,pro,4,65539,1024,32k-1M,14.677
pro_256k_L22,pro,4,65539,1024,32k-1M,14.152
pro_256k_L24,pro,4,65539,1024,32k-1M,15.874
pro_256k_L26,pro,4,65539,1024,32k-1M,16.554
pro_256k_L28,pro,4,65539,1024,32k-1M,15.411
pro_256k_L30,pro,4,65539,1024,32k-1M,15.134
pro_256k_L32,pro,4,65539,1024,32k-1M,16.384
pro_256k_L34,pro,4,65539,1024,32k-1M,16.867
pro_256k_L36,pro,4,65539,1024,32k-1M,14.339
pro_256k_L38,pro,4,65539,1024,32k-1M,16.267
pro_256k_L40,pro,4,65539,1024,32k-1M,17.032
pro_256k_L42,pro,4,65539,1024,32k-1M,14.181
pro_256k_L44,pro,4,65539,1024,32k-1M,16.57
pro_256k_L46,pro,4,65539,1024,32k-1M,14.752
pro_256k_L48,pro,4,65539,1024,32k-1M,17.977
pro_256k_L50,pro,4,65539,1024,32k-1M,16.448
pro_256k_L52,pro,4,65539,1024,32k-1M,17.053
pro_256k_L54,pro,4,65539,1024,32k-1M,14.6
pro_256k_L56,pro,4,65539,1024,32k-1M,16.131
pro_256k_L58,pro,4,65539,1024,32k-1M,14.613
pro_256k_L60,pro,4,65539,1024,32k-1M,14.314
pro_32k_L02,pro,1,8195,1024,32k-1M,11.27
pro_32k_L04,pro,1,8195,1024,32k-1M,12.456
pro_32k_L06,pro,1,8195,1024,32k-1M,12.254
pro_32k_L08,pro,1,8195,1024,32k-1M,12.162
pro_32k_L10,pro,1,8195,1024,32k-1M,12.67
pro_32k_L12,pro,1,8195,1024,32k-1M,9.862
pro_32k_L14,pro,1,8195,1024,32k-1M,12.333
pro_32k_L16,pro,1,8195,1024,32k-1M,10.213
pro_32k_L18,pro,1,8195,1024,32k-1M,10.254
pro_32k_L20,pro,1,8195,1024,32k-1M,9.709
pro_32k_L22,pro,1,8195,1024,32k-1M,10.629
pro_32k_L24,pro,1,8195,1024,32k-1M,9.955
pro_32k_L26,pro,1,8195,1024,32k-1M,11.117
pro_32k_L28,pro,1,8195,1024,32k-1M,10.083
pro_32k_L30,pro,1,8195,1024,32k-1M,11.069
pro_32k_L32,pro,1,8195,1024,32k-1M,11.352
pro_32k_L34,pro,1,8195,1024,32k-1M,9.715
pro_32k_L36,pro,1,8195,1024,32k-1M,10.877
pro_32k_L38,pro,1,8195,1024,32k-1M,10.298
