model,isl,layer,dtype,N,K,s,z,mode,admit,band,miss
flash,64k,2,fp32,16387,512,1024,3.0,strat,1.365966796875,0.98095703125,0
flash,64k,2,fp32,16387,512,1024,3.0,iid,1.619873046875,1.083984375,0
flash,64k,2,fp32,16387,512,2048,3.0,strat,1.3330078125,0.728271484375,0
flash,64k,2,fp32,16387,512,2048,3.0,iid,1.485595703125,0.796630859375,0
flash,64k,2,fp32,16387,512,4096,3.0,strat,1.22265625,0.5078125,0
flash,64k,2,fp32,16387,512,4096,3.0,iid,1.318359375,0.55810546875,0
flash,64k,2,bf16,16387,512,1024,3.0,strat,1.394775390625,1.001220703125,0
flash,64k,2,bf16,16387,512,1024,3.0,iid,1.65087890625,1.10400390625,0
flash,64k,2,bf16,16387,512,2048,3.0,strat,1.353759765625,0.735107421875,0
flash,64k,2,bf16,16387,512,2048,3.0,iid,1.514404296875,0.813232421875,0
flash,64k,2,bf16,16387,512,4096,3.0,strat,1.24365234375,0.511474609375,0
flash,64k,2,bf16,16387,512,4096,3.0,iid,1.333984375,0.55908203125,0
flash,64k,4,fp32,16387,512,1024,3.0,strat,1.500732421875,1.093017578125,0
flash,64k,4,fp32,16387,512,1024,3.0,iid,1.6259765625,1.1435546875,0
flash,64k,4,fp32,16387,512,2048,3.0,strat,1.35693359375,0.73046875,0
flash,64k,4,fp32,16387,512,2048,3.0,iid,1.421630859375,0.714111328125,0
flash,64k,4,fp32,16387,512,4096,3.0,strat,1.309814453125,0.537841796875,0
flash,64k,4,fp32,16387,512,4096,3.0,iid,1.267822265625,0.517333984375,0
flash,64k,4,bf16,16387,512,1024,3.0,strat,1.50341796875,1.0947265625,0
flash,64k,4,bf16,16387,512,1024,3.0,iid,1.629150390625,1.146728515625,0
flash,64k,4,bf16,16387,512,2048,3.0,strat,1.359619140625,0.73291015625,0
flash,64k,4,bf16,16387,512,2048,3.0,iid,1.426025390625,0.7177734375,0
flash,64k,4,bf16,16387,512,4096,3.0,strat,1.312744140625,0.540283203125,0
flash,64k,4,bf16,16387,512,4096,3.0,iid,1.2705078125,0.51953125,0
flash,64k,6,fp32,16387,512,1024,3.0,strat,1.5,1.055908203125,0
flash,64k,6,fp32,16387,512,1024,3.0,iid,1.699951171875,1.12646484375,0
flash,64k,6,fp32,16387,512,2048,3.0,strat,1.35546875,0.711669921875,0
flash,64k,6,fp32,16387,512,2048,3.0,iid,1.4423828125,0.780517578125,0
flash,64k,6,fp32,16387,512,4096,3.0,strat,1.2666015625,0.5224609375,0
