hw,K,dtype,N,BS,gvr_cuda_cold_us,gvr_cuda_warm_us,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,gvr_cutedsl_rs_cold_us,gvr_cutedsl_rs_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,gvr_op8_cold_us,gvr_op8_warm_us,gvr_port_cold_us,gvr_port_warm_us,gvr_mt_cold_us,gvr_mt_warm_us,gvr_sandwich_cold_us,gvr_sandwich_warm_us,radix_single_cuda_cold_us,radix_single_cuda_warm_us,radix_multi_cuda_cold_us,radix_multi_cuda_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,radix_cutedsl_single_cold_us,radix_cutedsl_single_warm_us,radix_cutedsl_multi_cold_us,radix_cutedsl_multi_warm_us,sglang_streaming_cold_us,sglang_streaming_warm_us,gvr_cold_speedup_vs_gvr_cutedsl,gvr_cold_speedup_vs_gvr_cutedsl_rs,gvr_cold_speedup_vs_gvr_multicta_cutedsl,gvr_cold_speedup_vs_gvr_op8,gvr_cold_speedup_vs_gvr_port,gvr_cold_speedup_vs_gvr_mt,gvr_cold_speedup_vs_gvr_sandwich,gvr_cold_speedup_vs_radix_single_cuda,gvr_cold_speedup_vs_radix_multi_cuda,gvr_cold_speedup_vs_radix_cutedsl,gvr_cold_speedup_vs_radix_cutedsl_single,gvr_cold_speedup_vs_radix_cutedsl_multi,gvr_cold_speedup_vs_sglang_streaming
B300,512,fp16,32768,1,14.802,12.912,15.197,13.486,12.122,10.381,15.603,13.591,12.653,10.662,12.003,9.64,,,,,23.118,20.742,38.053,33.837,14.173,12.997,13.019,12.076,14.214,12.974,,,1.027,0.819,1.054,0.855,0.811,,,1.562,2.571,0.958,0.88,0.96,
B300,512,fp16,65536,1,20.704,18.05,17.392,15.766,15.523,14.006,16.464,14.52,14.533,12.646,14.277,13.787,,,,,32.358,28.66,39.654,35.293,14.082,12.959,20.594,19.112,14.08,12.963,,,0.84,0.75,0.795,0.702,0.69,,,1.563,1.915,0.68,0.995,0.68,
B300,512,fp16,131072,1,29.901,26.072,23.914,22.086,22.146,20.499,16.99,15.576,15.019,13.684,20.417,17.205,,,,,52.606,45.205,41.496,36.753,13.89,13.016,,,13.92,13.026,,,0.8,0.741,0.568,0.502,0.683,,,1.759,1.388,0.465,,0.466,
B300,512,fp16,262144,1,50.536,44.261,36.95,34.993,34.379,32.607,21.875,20.407,18.571,17.165,31.004,29.162,,,,,91.917,77.638,45.005,39.729,13.915,13.031,,,13.915,13.023,,,0.731,0.68,0.433,0.367,0.614,,,1.819,0.891,0.275,,0.275,
B300,512,fp32,4096,1,10.6,8.872,10.878,9.104,9.715,7.836,10.952,9.079,9.589,7.851,10.318,9.1,,,,,14.582,13.467,35.027,30.979,6.451,5.618,6.754,5.988,14.952,13.894,7.699,6.424,1.026,0.917,1.033,0.905,0.973,,,1.376,3.304,0.609,0.637,1.411,0.726
B300,512,fp32,8192,1,11.059,9.582,10.918,9.31,9.437,7.906,10.936,9.302,9.477,7.912,9.877,7.453,,,,,16.416,14.95,35.554,31.21,7.68,7.181,7.645,7.181,15.435,14.578,8.386,7.297,0.987,0.853,0.989,0.857,0.893,,,1.484,3.215,0.694,0.691,1.396,0.758
B300,512,fp32,16384,1,15.565,13.812,15.301,13.893,10.373,8.648,15.358,13.902,10.328,8.66,11.121,9.923,,,,,20.237,17.495,35.675,31.487,11.906,11.279,11.843,11.292,16.811,16.008,11.149,10.043,0.983,0.666,0.987,0.664,0.715,,,1.3,2.292,0.765,0.761,1.08,0.716
B300,512,fp32,32768,1,16.442,13.642,14.558,12.715,12.501,10.843,14.549,12.713,12.566,10.821,13.112,10.906,,,,,27.309,23.315,38.416,33.985,16.834,16.207,17.333,16.567,16.864,16.17,15.53,14.494,0.885,0.76,0.885,0.764,0.797,,,1.661,2.337,1.024,1.054,1.026,0.945
B300,512,fp32,65536,1,23.0,18.872,18.11,16.363,17.264,15.277,15.323,13.677,14.808,12.888,15.363,12.738,,,,,42.886,33.732,40.376,35.576,16.533,15.9,,,16.584,15.923,24.267,23.368,0.787,0.751,0.666,0.644,0.668,,,1.865,1.755,0.719,,0.721,1.055
B300,512,fp32,131072,1,35.171,27.744,23.654,21.34,23.243,20.788,15.728,14.411,15.579,14.168,20.279,17.465,,,,,70.922,53.261,42.408,36.961,18.717,18.131,,,18.846,18.07,41.445,40.854,0.673,0.661,0.447,0.443,0.577,,,2.016,1.206,0.532,,0.536,1.178
