hw,K,dtype,N,BS,gvr_cuda_cold_us,gvr_cuda_warm_us,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,gvr_cutedsl_rs_cold_us,gvr_cutedsl_rs_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,gvr_op8_cold_us,gvr_op8_warm_us,gvr_port_cold_us,gvr_port_warm_us,gvr_mt_cold_us,gvr_mt_warm_us,gvr_sandwich_cold_us,gvr_sandwich_warm_us,radix_single_cuda_cold_us,radix_single_cuda_warm_us,radix_multi_cuda_cold_us,radix_multi_cuda_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,radix_cutedsl_single_cold_us,radix_cutedsl_single_warm_us,radix_cutedsl_multi_cold_us,radix_cutedsl_multi_warm_us,sglang_streaming_cold_us,sglang_streaming_warm_us,gvr_cold_speedup_vs_gvr_cutedsl,gvr_cold_speedup_vs_gvr_cutedsl_rs,gvr_cold_speedup_vs_gvr_multicta_cutedsl,gvr_cold_speedup_vs_gvr_op8,gvr_cold_speedup_vs_gvr_port,gvr_cold_speedup_vs_gvr_mt,gvr_cold_speedup_vs_gvr_sandwich,gvr_cold_speedup_vs_radix_single_cuda,gvr_cold_speedup_vs_radix_multi_cuda,gvr_cold_speedup_vs_radix_cutedsl,gvr_cold_speedup_vs_radix_cutedsl_single,gvr_cold_speedup_vs_radix_cutedsl_multi,gvr_cold_speedup_vs_sglang_streaming
B300,512,bf16,32768,1,13.453,11.071,13.445,11.729,12.318,10.589,13.896,11.9,12.614,10.613,11.814,9.834,,,,,23.304,20.612,37.699,33.858,14.312,13.107,13.448,12.439,14.315,13.094,,,0.999,0.916,1.033,0.938,0.878,,,1.732,2.802,1.064,1.0,1.064,
B300,512,bf16,32768,2,13.867,11.115,13.226,11.695,12.099,10.566,13.766,11.853,12.518,10.572,11.8,11.683,,,,,23.416,20.654,37.301,33.569,14.448,13.14,13.422,12.465,14.234,13.085,,,0.954,0.873,0.993,0.903,0.851,,,1.689,2.69,1.042,0.968,1.026,
B300,512,bf16,32768,4,13.45,11.213,13.44,11.7,12.261,10.614,13.762,11.866,12.288,10.628,11.967,11.686,,,,,23.416,20.681,36.75,33.097,14.376,13.277,13.499,12.491,14.365,13.26,,,0.999,0.912,1.023,0.914,0.89,,,1.741,2.732,1.069,1.004,1.068,
B300,512,bf16,32768,8,14.288,11.363,13.333,11.729,12.24,10.621,13.779,11.896,12.344,10.637,11.8,11.713,,,,,23.402,20.696,36.525,33.348,14.456,13.363,13.603,12.509,14.477,13.357,,,0.933,0.857,0.964,0.864,0.826,,,1.638,2.556,1.012,0.952,1.013,
B300,512,bf16,32768,16,14.512,11.673,13.531,11.722,12.266,10.629,13.68,11.914,12.571,10.658,12.071,11.702,,,,,23.173,20.72,35.747,34.097,14.738,13.546,13.491,12.515,14.621,13.585,,,0.932,0.845,0.943,0.866,0.832,,,1.597,2.463,1.016,0.93,1.007,
B300,512,bf16,32768,32,14.731,12.266,13.613,11.756,12.722,10.696,13.899,11.949,12.714,10.717,13.66,13.674,,,,,23.45,20.854,42.291,41.486,15.083,13.853,13.514,12.551,15.09,13.846,,,0.924,0.864,0.944,0.863,0.927,,,1.592,2.871,1.024,0.917,1.024,
B300,512,bf16,32768,64,15.227,12.699,13.861,11.86,13.035,10.902,14.171,12.059,13.144,10.943,13.743,12.782,,,,,23.56,20.922,59.664,58.891,13.728,12.606,13.706,12.612,27.498,25.801,,,0.91,0.856,0.931,0.863,0.903,,,1.547,3.918,0.902,0.9,1.806,
B300,512,bf16,32768,128,16.475,13.039,14.757,12.015,13.757,11.066,14.949,12.167,13.896,11.114,14.709,12.008,,,,,24.112,21.028,46.347,44.492,14.52,12.728,14.549,12.714,52.544,49.782,,,0.896,0.835,0.907,0.843,0.893,,,1.464,2.813,0.881,0.883,3.189,
B300,512,bf16,32768,256,23.474,20.641,20.066,16.758,18.698,15.519,20.493,17.252,18.93,15.786,20.142,16.759,,,,,33.757,31.45,85.539,83.016,26.579,24.127,26.52,24.117,90.322,85.988,,,0.855,0.797,0.873,0.806,0.858,,,1.438,3.644,1.132,1.13,3.848,
B300,512,bf16,32768,512,37.555,35.164,34.155,29.26,31.672,26.872,34.69,29.972,31.949,27.282,34.324,29.262,,,,,60.141,56.934,150.379,147.805,50.725,46.719,50.862,46.721,177.659,170.163,,,0.909,0.843,0.924,0.851,0.914,,,1.601,4.004,1.351,1.354,4.731,
B300,512,bf16,32768,1024,59.29,54.131,54.043,47.981,50.198,43.823,54.883,48.901,50.669,44.109,54.043,47.977,,,,,97.819,93.751,274.998,272.312,88.784,80.766,88.75,80.746,354.634,338.058,,,0.912,0.847,0.926,0.855,0.912,,,1.65,4.638,1.497,1.497,5.981,
B300,512,bf16,32768,2048,103.39,101.431,97.709,95.465,89.514,86.92,99.298,97.202,90.528,87.897,97.83,95.335,,,,,184.178,183.002,544.262,543.291,173.282,168.38,173.226,168.392,703.745,700.961,,,0.945,0.866,0.96,0.876,0.946,,,1.781,5.264,1.676,1.675,6.807,
B300,512,bf16,65536,1,19.288,16.559,15.957,14.401,15.677,14.131,14.939,13.028,14.611,12.724,14.466,12.603,,,,,32.342,28.571,39.165,35.329,14.256,13.14,21.528,20.05,14.138,13.118,,,0.827,0.813,0.775,0.758,0.75,,,1.677,2.031,0.739,1.116,0.733,
B300,512,bf16,65536,2,19.261,16.465,16.024,14.396,15.77,14.131,14.99,13.14,14.658,12.818,14.369,12.593,,,,,32.965,28.734,38.683,34.947,14.28,13.201,21.589,20.074,14.259,13.167,,,0.832,0.819,0.778,0.761,0.746,,,1.711,2.008,0.741,1.121,0.74,
B300,512,bf16,65536,4,19.176,16.442,15.994,14.41,15.662,14.17,14.942,13.15,14.734,12.821,14.342,12.61,,,,,32.886,28.718,38.11,34.694,14.579,13.566,21.683,20.113,14.53,13.525,,,0.834,0.817,0.779,0.768,0.748,,,1.715,1.987,0.76,1.131,0.758,
B300,512,bf16,65536,8,19.066,16.516,15.864,14.429,15.773,14.179,15.045,13.298,14.926,12.986,15.015,12.641,,,,,32.954,28.885,37.958,34.785,14.602,13.484,21.557,20.124,14.546,13.51,,,0.832,0.827,0.789,0.783,0.788,,,1.728,1.991,0.766,1.131,0.763,
B300,512,bf16,65536,16,19.283,16.452,16.034,14.435,15.728,14.216,15.237,13.42,15.114,13.249,14.371,12.629,,,,,32.891,28.984,37.17,35.293,14.938,13.667,21.522,20.15,14.949,13.673,,,0.831,0.816,0.79,0.784,0.745,,,1.706,1.928,0.775,1.116,0.775,
B300,512,bf16,65536,32,19.39,16.564,16.155,14.457,16.112,14.293,15.77,14.083,15.766,13.974,16.305,14.459,,,,,33.037,29.245,44.363,43.343,17.264,15.994,21.648,20.175,27.237,25.429,,,0.833,0.831,0.813,0.813,0.841,,,1.704,2.288,0.89,1.116,1.405,
B300,512,bf16,65536,64,19.968,16.685,16.85,14.612,16.901,14.501,16.64,14.266,16.722,14.224,16.657,14.608,,,,,33.39,29.374,63.403,62.334,22.291,20.39,21.966,20.273,52.085,49.261,,,0.844,0.846,0.833,0.837,0.834,,,1.672,3.175,1.116,1.1,2.608,
B300,512,bf16,65536,128,20.896,16.94,17.854,14.769,17.666,14.71,18.315,15.114,18.102,14.983,17.98,14.768,,,,,33.96,29.587,52.734,49.921,22.944,20.407,22.963,20.418,98.258,94.044,,,0.854,0.845,0.876,0.866,0.86,,,1.625,2.524,1.098,1.099,4.702,
B300,512,bf16,65536,256,28.499,23.121,27.555,22.804,27.08,22.23,28.76,23.919,28.16,23.244,27.393,22.797,,,,,46.242,42.525,97.013,93.169,43.397,39.359,43.342,39.343,186.618,179.284,,,0.967,0.95,1.009,0.988,0.961,,,1.623,3.404,1.523,1.521,6.548,
B300,512,bf16,65536,512,51.21,42.035,49.242,40.319,47.394,38.883,50.466,42.04,49.29,40.617,49.474,41.661,,,,,83.542,77.444,169.01,164.225,85.365,77.083,85.403,77.085,364.91,347.905,,,0.962,0.925,0.985,0.963,0.966,,,1.631,3.3,1.667,1.668,7.126,
B300,512,bf16,65536,1024,79.192,72.772,77.416,71.855,74.832,69.082,79.472,74.285,77.526,71.909,77.058,71.859,,,,,135.15,131.713,309.912,308.44,149.117,141.93,149.088,141.92,714.485,710.014,,,0.978,0.945,1.004,0.979,0.973,,,1.707,3.913,1.883,1.883,9.022,
B300,512,bf16,65536,2048,139.15,133.548,137.582,132.472,132.686,127.683,143.13,138.551,138.498,133.724,136.968,132.493,,,,,251.866,248.799,609.665,608.575,288.819,281.288,288.701,281.303,1418.808,1414.993,,,0.989,0.954,1.029,0.995,0.984,,,1.81,4.381,2.076,2.075,10.196,
B300,512,bf16,131072,1,28.478,24.536,22.65,20.924,22.216,20.657,15.394,13.975,15.158,13.789,19.011,17.121,,,,,52.954,44.521,41.067,36.765,13.88,13.046,,,13.848,13.055,,,0.795,0.78,0.541,0.532,0.668,,,1.859,1.442,0.487,,0.486,
B300,512,bf16,131072,2,28.28,24.344,22.616,20.946,22.187,20.678,15.642,14.088,15.384,13.928,19.55,17.147,,,,,52.987,44.575,40.662,36.49,13.954,13.12,,,14.038,13.106,,,0.8,0.785,0.553,0.544,0.691,,,1.874,1.438,0.493,,0.496,
B300,512,bf16,131072,4,28.398,24.448,22.584,20.961,22.33,20.684,15.698,14.084,15.482,13.931,18.442,17.161,,,,,52.83,44.446,40.019,36.046,14.061,13.146,,,14.07,13.137,,,0.795,0.786,0.553,0.545,0.649,,,1.86,1.409,0.495,,0.495,
B300,512,bf16,131072,8,28.232,24.431,22.509,20.973,22.429,20.709,15.842,14.204,15.635,14.051,20.04,17.182,,,,,52.84,44.664,39.947,36.422,14.661,13.406,,,14.701,13.426,,,0.797,0.794,0.561,0.554,0.71,,,1.872,1.415,0.519,,0.521,
B300,512,bf16,131072,16,28.552,24.431,22.821,20.979,22.573,20.75,16.12,14.322,15.981,14.283,19.782,17.159,,,,,52.803,44.696,39.352,37.076,16.858,15.521,,,26.709,25.03,,,0.799,0.791,0.565,0.56,0.693,,,1.849,1.378,0.59,,0.935,
B300,512,bf16,131072,32,28.955,24.562,23.195,21.046,22.97,20.832,19.907,17.591,19.754,17.525,23.351,21.049,,,,,54.133,45.95,47.144,45.623,21.63,19.789,,,51.027,48.564,,,0.801,0.793,0.688,0.682,0.806,,,1.87,1.628,0.747,,1.762,
B300,512,bf16,131072,64,29.842,24.847,24.074,21.215,23.848,21.097,21.157,17.862,21.069,17.852,24.289,21.215,,,,,54.482,46.075,69.238,67.35,30.37,27.951,,,96.586,92.746,,,0.807,0.799,0.709,0.706,0.814,,,1.826,2.32,1.018,,3.237,
B300,512,bf16,131072,128,31.523,25.148,26.12,21.439,26.102,21.37,26.798,21.992,26.784,22.015,26.335,21.434,,,,,55.544,46.165,64.68,60.764,57.333,53.667,,,179.552,172.516,,,0.829,0.828,0.85,0.85,0.835,,,1.762,2.052,1.819,,5.696,
B300,512,bf16,131072,256,60.741,36.922,45.682,35.859,44.912,35.162,47.68,37.988,46.959,37.233,45.653,35.868,,,,,71.219,65.462,119.216,112.327,111.358,105.331,,,353.957,342.789,,,0.752,0.739,0.785,0.773,0.752,,,1.173,1.963,1.833,,5.827,
B300,512,bf16,131072,512,139.259,117.304,97.013,84.579,93.373,80.705,110.416,95.482,109.653,95.202,97.289,84.613,,,,,138.181,130.181,204.262,200.532,191.859,189.092,,,695.091,691.647,,,0.697,0.67,0.793,0.787,0.699,,,0.992,1.467,1.378,,4.991,
B300,512,bf16,131072,1024,241.721,227.104,158.069,144.923,140.397,126.175,168.568,151.94,168.765,154.607,158.598,144.943,,,,,217.88,210.444,375.371,372.612,378.995,376.232,,,1381.414,1377.545,,,0.654,0.581,0.697,0.698,0.656,,,0.901,1.553,1.568,,5.715,
B300,512,bf16,131072,2048,305.538,295.85,250.025,235.206,238.475,225.066,266.491,250.417,263.443,247.381,250.684,235.149,,,,,404.798,398.219,732.037,729.502,755.6,751.974,,,2755.774,2753.553,,,0.818,0.781,0.872,0.862,0.82,,,1.325,2.396,2.473,,9.019,
B300,512,bf16,262144,1,48.15,41.542,35.677,33.749,34.222,32.655,19.722,18.263,18.648,17.183,28.915,27.767,,,,,92.349,76.088,44.637,39.895,13.994,13.072,,,13.986,13.036,,,0.741,0.711,0.41,0.387,0.601,,,1.918,0.927,0.291,,0.29,
B300,512,bf16,262144,2,48.344,41.642,35.674,33.761,34.349,32.595,20.162,18.36,18.976,17.258,28.927,27.774,,,,,92.402,76.289,44.347,39.757,14.101,13.244,,,14.091,13.219,,,0.738,0.711,0.417,0.393,0.598,,,1.911,0.917,0.292,,0.291,
