scenario,sweep,K,dtype,N,BS,r0_arm,op26r_cold_us_local,op26r_warm_us_local,base_cold_us_local,base_warm_us_local,radix_cold_us_local,radix_warm_us_local,speedup_vs_base_same_node_cold,speedup_vs_radix_same_node_cold
best,bs,512,bf16,16384,2,1cta,11.086,9.594,12.181,10.303,9.347,8.755,1.0988,0.8431
best,bs,512,bf16,16384,4,1cta,11.302,9.702,12.243,10.473,9.392,8.813,1.0833,0.831
best,bs,512,bf16,16384,8,1cta,11.365,9.75,12.29,10.492,9.416,8.834,1.0814,0.8285
best,bs,512,bf16,16384,16,1cta,11.715,10.081,12.566,10.827,9.882,9.208,1.0726,0.8435
best,bs,512,bf16,16384,32,1cta,11.928,10.232,12.624,10.979,9.955,9.272,1.0584,0.8346
best,bs,512,bf16,16384,64,1cta,12.21,10.301,12.858,11.06,10.174,9.328,1.0531,0.8333
best,bs,512,bf16,16384,128,1cta,12.63,10.488,13.389,11.324,10.669,9.477,1.0601,0.8447
best,bs,512,bf16,16384,256,1cta,15.928,13.621,16.934,14.459,19.117,17.503,1.0632,1.2002
best,bs,512,bf16,16384,512,1cta,26.821,23.547,29.779,26.215,35.789,33.44,1.1103,1.3344
best,bs,512,bf16,16384,1024,1cta,41.725,37.473,46.336,41.832,61.606,57.31,1.1105,1.4765
best,bs,512,bf16,16384,2048,1cta,76.117,70.406,83.693,77.567,120.264,112.792,1.0995,1.58
best,bs,512,bf16,32768,1,1cta,11.522,10.099,14.339,12.328,11.576,10.724,1.2445,1.0047
best,bs,512,bf16,32768,2,1cta,11.376,10.088,13.979,12.308,12.122,11.199,1.2288,1.0656
best,bs,512,bf16,32768,4,1cta,11.605,10.275,14.166,12.505,14.803,13.914,1.2207,1.2756
best,bs,512,bf16,32768,8,1cta,11.739,10.284,14.274,12.52,15.026,14.008,1.2159,1.28
best,bs,512,bf16,32768,16,1cta,12.067,10.616,14.499,12.849,15.459,14.362,1.2015,1.2811
best,bs,512,bf16,32768,32,1cta,12.318,10.759,14.787,12.992,15.744,14.47,1.2004,1.2781
best,bs,512,bf16,32768,64,1cta,12.741,10.9,15.194,13.133,15.206,14.074,1.1925,1.1935
best,bs,512,bf16,32768,128,1cta,13.45,11.217,15.81,13.471,15.806,14.328,1.1755,1.1752
best,bs,512,bf16,32768,256,1cta,18.09,15.172,22.029,18.987,29.045,26.973,1.2177,1.6056
