model,K,dtype,layer,hit_rate,op,us_cold,us_warm,vdiff,recall,n_neg
flash,512,bf16,40,0.2812,gvr_cutedsl,16.744,14.549,0.0,1.0,0
flash,512,bf16,40,0.2812,gvr_multicta_cutedsl,15.034,12.909,0.0,1.0,0
flash,512,bf16,40,0.2812,op21_legacy,22.619,19.663,0.0,1.0,0
flash,512,bf16,40,0.2812,op26_1cta,16.678,14.448,0.0,1.0,0
flash,512,bf16,40,0.2812,op26_mc,15.005,12.909,0.0,1.0,0
flash,512,bf16,40,0.2812,op26_r0auto,19.573,17.471,0.0,1.0,0
flash,512,bf16,40,0.2812,op27_hls,25.387,19.739,0.0,1.0,0
flash,512,bf16,40,0.2812,radix_cutedsl,14.203,13.061,0.0,1.0,0
flash,512,bf16,40,0.2812,radix_multi_cuda,37.467,33.147,0.0,1.0,0
flash,512,bf16,40,0.2812,radix_single_cuda,21.408,19.267,0.0,1.0,0
flash,512,bf16,42,0.6602,gvr_cutedsl,16.096,13.374,0.0,1.0,0
flash,512,bf16,42,0.6602,gvr_multicta_cutedsl,14.645,11.933,0.0,1.0,0
flash,512,bf16,42,0.6602,op21_legacy,20.469,17.434,0.0,1.0,0
flash,512,bf16,42,0.6602,op26_1cta,15.498,13.253,0.0,1.0,0
flash,512,bf16,42,0.6602,op26_mc,14.019,11.922,0.0,1.0,0
flash,512,bf16,42,0.6602,op26_r0auto,14.080,11.827,0.0,1.0,0
flash,512,bf16,42,0.6602,op27_hls,22.392,17.517,0.0,1.0,0
flash,512,bf16,42,0.6602,radix_cutedsl,14.397,13.283,0.0,1.0,0
flash,512,bf16,42,0.6602,radix_multi_cuda,38.384,34.027,0.0,1.0,0
flash,512,bf16,42,0.6602,radix_single_cuda,21.794,19.663,0.0,1.0,0
flash,512,fp16,2,0.4375,gvr_cutedsl,14.270,11.679,0.0,1.0,0
flash,512,fp16,2,0.4375,gvr_multicta_cutedsl,12.235,10.150,0.0,1.0,0
flash,512,fp16,2,0.4375,op21_legacy,21.541,18.262,0.0,1.0,0
flash,512,fp16,2,0.4375,op26_1cta,13.790,11.656,0.0,1.0,0
flash,512,fp16,2,0.4375,op26_mc,12.214,10.157,0.0,1.0,0
flash,512,fp16,2,0.4375,op26_r0auto,17.061,15.120,0.0,1.0,0
flash,512,fp16,2,0.4375,op27_hls,21.914,18.236,0.0,1.0,0
flash,512,fp16,2,0.4375,radix_cutedsl,11.971,10.996,0.0,1.0,0
flash,512,fp16,2,0.4375,radix_multi_cuda,38.514,35.020,0.0,1.0,0
flash,512,fp16,2,0.4375,radix_single_cuda,21.950,20.026,0.0,1.0,0
flash,512,fp16,4,0.3262,gvr_cutedsl,16.350,13.785,0.0,1.0,0
flash,512,fp16,4,0.3262,gvr_multicta_cutedsl,14.719,12.188,0.0,1.0,0
flash,512,fp16,4,0.3262,op21_legacy,23.034,19.745,0.0,1.0,0
flash,512,fp16,4,0.3262,op26_1cta,16.253,13.753,0.0,1.0,0
flash,512,fp16,4,0.3262,op26_mc,14.574,12.198,0.0,1.0,0
flash,512,fp16,4,0.3262,op26_r0auto,14.826,12.701,0.0,1.0,0
flash,512,fp16,4,0.3262,op27_hls,23.592,19.748,0.0,1.0,0
flash,512,fp16,4,0.3262,radix_cutedsl,11.790,10.987,0.0,1.0,0
flash,512,fp16,4,0.3262,radix_multi_cuda,38.421,34.997,0.0,1.0,0
flash,512,fp16,4,0.3262,radix_single_cuda,22.472,20.433,0.0,1.0,0
flash,512,fp16,6,0.5039,gvr_cutedsl,17.134,14.385,0.0,1.0,0
flash,512,fp16,6,0.5039,gvr_multicta_cutedsl,15.174,12.823,0.0,1.0,0
flash,512,fp16,6,0.5039,op21_legacy,24.595,21.437,0.0,1.0,0
flash,512,fp16,6,0.5039,op26_1cta,16.872,14.381,0.0,1.0,0
flash,512,fp16,6,0.5039,op26_mc,15.446,12.830,0.0,1.0,0
flash,512,fp16,6,0.5039,op26_r0auto,21.789,19.534,0.0,1.0,0
flash,512,fp16,6,0.5039,op27_hls,25.458,21.496,0.0,1.0,0
