scenario,K,N,arm,us_cold,us_warm
worst,512,524288,radix_cutedsl,18.886400000000002,18.00636
worst,512,524288,gvr_multicta_cutedsl,23.404799999999998,20.8275
worst,512,524288,radix_single_cuda,243.72285,175.68995999999999
worst,512,524288,radix_multi_cuda,62.0463,50.57596
worst,512,524288,op27_hls,28.488,27.23836
worst,512,524288,op26_r0auto,24.3152,21.71516
worst,512,524288,sglang_v2,22.447950000000002,18.87614
worst,512,524288,flashinfer_topk,25.5536,20.693740000000002
worst,512,1048576,gvr_cutedsl,91.40310000000001,81.90386
worst,512,1048576,radix_cutedsl,20.052799999999998,18.58618
worst,512,1048576,gvr_multicta_cutedsl,32.992,29.12632
worst,512,1048576,radix_single_cuda,472.6392,336.17098
worst,512,1048576,radix_multi_cuda,86.0718,67.61012
worst,512,1048576,op27_hls,38.8287,37.3759
worst,512,1048576,op26_r0auto,36.3024,32.71548
worst,512,1048576,sglang_v2,32.936,26.439619999999998
worst,512,1048576,flashinfer_topk,40.3951,31.42266
worst,1024,4096,gvr_cutedsl,10.2015,8.75904
worst,1024,4096,radix_cutedsl,6.5936,6.01792
worst,1024,4096,gvr_multicta_cutedsl,10.16955,8.83454
worst,1024,4096,radix_single_cuda,15.220799999999999,14.253440000000001
worst,1024,4096,radix_multi_cuda,36.25275,32.70908
worst,1024,4096,op27_hls,11.5952,10.43262
worst,1024,4096,op26_r0auto,8.492799999999999,7.32158
worst,1024,4096,sglang_v2,4.918399999999999,4.1856
worst,1024,4096,flashinfer_topk,7.2496,6.76992
worst,1024,8192,gvr_cutedsl,9.8384,8.45054
worst,1024,8192,radix_cutedsl,8.0768,7.33824
worst,1024,8192,gvr_multicta_cutedsl,9.830350000000001,8.459520000000001
worst,1024,8192,radix_single_cuda,17.081599999999998,15.134079999999999
worst,1024,8192,radix_multi_cuda,36.8063,32.67132
worst,1024,8192,op27_hls,13.136,12.14524
worst,1024,8192,op26_r0auto,9.3824,7.81438
worst,1024,8192,sglang_v2,5.6368,4.85696
