scenario,K,dtype,N,BS,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,op21_legacy_cold_us,op21_legacy_warm_us,op21_hls_cold_us,op21_hls_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,sglang_streaming_cold_us,sglang_streaming_warm_us,speedup_vs_base_op21_legacy,speedup_vs_base_op21_hls,speedup_vs_base_radix_cutedsl,speedup_vs_base_gvr_multicta_cutedsl,speedup_vs_base_sglang_streaming,mc_cluster_size
best,512,fp32,65536,16,29.005,26.943,14.598,12.586,13.984,12.026,20.896,19.563,21.876,19.576,25.778,24.945,1.9869,2.0742,1.3881,1.3259,1.1252,4
best,512,fp32,65536,32,29.59,27.124,15.682,13.123,14.997,12.426,24.859,22.997,24.428,21.985,26.139,25.083,1.8869,1.9731,1.1903,1.2113,1.132,2
best,512,fp32,65536,64,30.706,27.327,17.056,14.617,17.277,14.951,32.274,29.705,26.153,23.0,26.73,25.263,1.8003,1.7773,0.9514,1.1741,1.1487,2
best,512,fp32,65536,128,33.53,28.276,18.218,14.918,18.618,15.279,59.923,56.758,33.467,28.277,27.952,25.75,1.8405,1.8009,0.5596,1.0019,1.1996,1
best,512,fp32,65536,256,55.199,42.254,37.338,27.13,37.307,27.137,115.586,110.389,50.438,39.057,43.831,40.524,1.4784,1.4796,0.4776,1.0944,1.2594,1
best,512,fp32,65536,512,176.712,162.417,81.408,69.52,81.279,69.626,201.408,198.457,97.262,83.739,79.608,76.752,2.1707,2.1741,0.8774,1.8169,2.2198,1
best,512,fp32,65536,1024,285.913,282.141,123.202,111.503,123.864,111.717,398.188,394.759,162.54,149.463,132.479,129.692,2.3207,2.3083,0.718,1.759,2.1582,1
best,512,fp32,65536,2048,499.972,512.395,206.412,194.645,207.22,195.728,793.11,789.884,283.409,273.635,253.253,250.6,2.4222,2.4128,0.6304,1.7641,1.9742,1
best,512,fp32,131072,1,25.483,23.24,14.898,13.633,14.386,13.192,18.798,18.15,17.798,16.614,43.458,42.61,1.7105,1.7714,1.3556,1.4318,0.5864,4
best,512,fp32,131072,2,25.838,23.22,15.36,13.873,14.701,13.325,20.251,19.372,18.311,16.583,43.443,42.714,1.6822,1.7576,1.2759,1.4111,0.5948,4
best,512,fp32,131072,4,25.531,23.215,15.747,14.169,15.12,13.699,19.891,18.95,18.201,16.577,43.074,42.728,1.6213,1.6886,1.2835,1.4027,0.5927,4
best,512,fp32,131072,8,25.717,23.246,16.195,14.417,15.515,13.836,20.939,19.657,18.533,16.756,43.08,42.741,1.588,1.6576,1.2282,1.3876,0.597,4
best,512,fp32,131072,16,26.35,23.447,16.456,14.527,15.922,13.845,24.382,22.634,19.504,16.95,43.563,43.007,1.6012,1.6549,1.0807,1.351,0.6049,4
best,512,fp32,131072,32,27.125,23.607,17.802,15.047,16.963,14.499,31.405,28.964,23.24,20.039,43.962,43.193,1.5237,1.5991,0.8637,1.1672,0.617,2
best,512,fp32,131072,64,29.525,23.9,23.136,20.522,23.253,20.872,58.811,55.547,26.721,20.643,44.525,43.417,1.2761,1.2697,0.502,1.1049,0.6631,2
