scenario,K,dtype,N,BS,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,op21_legacy_cold_us,op21_legacy_warm_us,op21_hls_cold_us,op21_hls_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,op25_hls_cold_us,op25_hls_warm_us,radix_single_cuda_cold_us,radix_single_cuda_warm_us,radix_multi_cuda_cold_us,radix_multi_cuda_warm_us,op26_1cta_cold_us,op26_1cta_warm_us,op26_mc_cold_us,op26_mc_warm_us,op27_hls_cold_us,op27_hls_warm_us,op26_r0auto_cold_us,op26_r0auto_warm_us,sglang_streaming_cold_us,sglang_streaming_warm_us,speedup_vs_base_op21_legacy,speedup_vs_base_op21_hls,speedup_vs_base_radix_cutedsl,speedup_vs_base_gvr_multicta_cutedsl,speedup_vs_base_op25_hls,speedup_vs_base_radix_single_cuda,speedup_vs_base_radix_multi_cuda,speedup_vs_base_op26_1cta,speedup_vs_base_op26_mc,speedup_vs_base_op27_hls,speedup_vs_base_sglang_streaming,speedup_vs_base_op26_r0auto,mc_cluster_size,op25_ms_path,op26_mc_cluster_size,op27_ms_path
best,1024,fp16,65536,1,26.202,24.754,13.96,12.255,13.72,12.156,12.891,11.763,22.507,20.807,14.858,13.358,33.633,30.574,40.092,36.595,19.356,18.231,19.949,18.165,14.659,13.129,16.064,14.601,,,1.8769,1.9098,2.0326,1.1642,1.7635,0.7791,0.6535,1.3537,1.3134,1.7874,,1.6311,4,msc_C8,4,msc_C8
best,1024,fp16,131072,1,25.488,23.787,14.013,12.318,14.102,12.353,13.864,12.957,18.552,17.193,14.666,12.969,55.038,47.728,42.829,38.792,25.519,23.819,21.468,19.877,14.304,12.665,16.192,14.73,,,1.8189,1.8074,1.8384,1.3739,1.7379,0.4631,0.5951,0.9988,1.1873,1.7819,,1.5741,4,msc_C8,4,msc_C8
best,1024,fp16,262144,1,40.251,38.39,15.051,12.881,14.925,12.849,13.89,13.115,23.91,22.417,15.325,13.158,92.96,80.827,46.952,42.423,40.828,38.675,22.82,21.281,15.04,12.963,22.592,20.978,,,2.6743,2.6969,2.8978,1.6834,2.6265,0.433,0.8573,0.9859,1.7638,2.6763,,1.7816,4,msc_C8,4,msc_C8
best,1024,fp16,524288,1,62.903,60.651,16.52,13.998,16.565,14.038,13.87,12.975,29.218,27.208,17.322,14.905,174.2,150.183,53.914,48.606,63.005,60.733,28.192,26.088,17.16,14.788,25.032,23.12,,,3.8077,3.7973,4.5352,2.1529,3.6314,0.3611,1.1667,0.9984,2.2312,3.6657,,2.5129,4,msc_C8,4,msc_C8
best,1024,fp16,1048576,1,114.238,111.039,19.826,16.256,20.507,16.452,14.41,13.178,43.836,41.156,20.242,16.719,337.373,289.554,72.669,63.955,114.612,111.19,42.527,39.765,20.109,16.628,37.364,35.114,,,5.762,5.5707,7.9277,2.606,5.6436,0.3386,1.572,0.9967,2.6862,5.6809,,3.0574,4,msc_C8,4,msc_C8
best,1024,fp32,4096,1,10.069,8.829,10.443,9.247,10.382,9.224,6.482,5.62,9.99,8.761,11.02,9.839,14.96,13.859,35.577,32.068,10.196,8.896,10.225,8.997,10.98,9.778,11.922,10.786,7.558,6.433,0.9642,0.9699,1.5534,1.0079,0.9137,0.6731,0.283,0.9875,0.9847,0.917,1.3322,0.8446,1,ms_1cta,1,ms_1cta
best,1024,fp32,8192,1,14.15,12.509,11.458,10.138,11.394,10.179,8.168,7.445,14.152,12.496,12.221,10.814,17.403,15.566,36.312,32.955,11.383,9.588,11.986,10.167,12.29,10.972,15.394,13.702,8.424,7.437,1.2349,1.2419,1.7324,0.9999,1.1578,0.8131,0.3897,1.2431,1.1805,1.1513,1.6797,0.9192,1,ms_1cta,1,ms_1cta
best,1024,fp32,16384,1,18.051,16.481,12.376,11.155,12.41,11.171,11.942,11.363,18.019,16.475,14.002,12.669,21.233,18.472,37.346,34.293,11.935,10.291,13.106,11.409,14.529,12.845,13.959,12.391,11.491,10.371,1.4585,1.4546,1.5116,1.0018,1.2892,0.8501,0.4833,1.5124,1.3773,1.2424,1.5709,1.2931,1,ms_1cta,1,ms_1cta
best,1024,fp32,32768,1,23.898,21.801,14.266,12.655,14.328,12.672,17.597,16.83,23.953,21.812,14.462,12.936,29.605,25.37,40.337,36.702,14.474,12.269,25.776,23.513,14.533,13.209,18.462,16.456,16.646,15.605,1.6752,1.6679,1.3581,0.9977,1.6525,0.8072,0.5925,1.6511,0.9271,1.6444,1.4357,1.2944,1,ms_1cta,1,ms_1cta
best,1024,fp32,65536,1,32.334,30.255,14.835,12.747,14.186,12.209,17.406,16.637,23.34,21.448,14.974,13.21,45.508,36.263,41.308,37.129,31.874,29.849,21.749,19.836,14.987,14.068,19.08,17.01,26.381,25.462,2.1796,2.2793,1.8576,1.3853,2.1593,0.7105,0.7828,1.0144,1.4867,2.1575,1.2257,1.6947,4,msc_C8,4,msc_C8
