model,isl,dtype,BS,N,hit,gvr_base,gvr_pr,op26_r0auto,radix_cutedsl,sglang_v2,flashinfer_topk
flash,256k,fp32,2,65538,0.279296875,16.7165,12.899049999999999,13.86055,19.04,9.6944,13.390450000000001
flash,256k,fp32,4,65538,0.279296875,16.852700000000002,13.075,13.8815,19.5472,9.686399999999999,13.41445
flash,256k,fp32,8,65538,0.279296875,17.179,13.4702,14.30395,20.088099999999997,9.9184,13.7408
flash,256k,fp32,16,65538,0.279296875,17.5054,13.6766,14.4848,20.94885,12.0016,16.65125
flash,256k,fp32,32,65538,0.279296875,18.40295,14.607850000000001,15.53575,30.24005,21.2449,18.302400000000002
flash,256k,fp32,64,65538,0.279296875,20.50215,16.8206,16.97595,57.5009,21.8705,20.8432
flash,256k,fp32,128,65538,0.279296875,23.1613,20.305349999999997,24.0077,58.822449999999996,22.91365,27.888
flash,256k,fp32,256,65538,0.279296875,34.4268,30.10995,37.27635,114.41460000000001,32.0561,41.8705
flash,256k,fp32,512,65538,0.279296875,64.19435,56.149699999999996,82.85485,197.2947,57.5649,74.2496
flash,256k,fp32,1024,65538,0.279296875,107.9505,92.93785000000001,126.987,388.8165,92.33439999999999,119.44030000000001
flash,32k,bf16,1,8195,0.685546875,10.83015,8.88955,10.8975,7.0192,,8.32485
flash,32k,bf16,2,8195,0.685546875,11.0591,9.167950000000001,11.062299999999999,6.9152,,8.128
flash,32k,bf16,4,8195,0.685546875,10.955200000000001,9.142299999999999,10.913549999999999,7.0688,,8.3696
flash,32k,bf16,8,8195,0.685546875,11.0607,9.2719,11.1838,7.12,,8.67045
flash,32k,bf16,16,8195,0.685546875,11.54875,9.62865,11.5215,7.3808,,10.390450000000001
flash,32k,bf16,32,8195,0.685546875,11.65115,9.8399,11.78055,7.6816,,10.900799999999998
flash,32k,bf16,64,8195,0.685546875,11.7584,9.87035,11.8095,7.79525,,11.120049999999999
flash,32k,bf16,128,8195,0.685546875,12.07505,10.27825,12.1198,8.144,,11.136
flash,32k,bf16,256,8195,0.685546875,14.9726,12.024,12.8735,14.128,,11.032
flash,32k,bf16,512,8195,0.685546875,25.6045,20.580599999999997,22.009349999999998,25.8304,,19.208099999999998
flash,32k,bf16,1024,8195,0.685546875,39.1371,31.4877,33.50685,43.61925,,31.857650000000003
flash,32k,fp16,1,8195,0.685546875,14.1599,9.4239,14.039950000000001,7.158399999999999,,8.09435
flash,32k,fp16,2,8195,0.685546875,14.00465,9.25275,13.96475,7.4224,,8.25595
flash,32k,fp16,4,8195,0.685546875,14.09105,9.28,14.0511,7.5648,,8.304
flash,32k,fp16,8,8195,0.685546875,13.958200000000001,9.28,13.964649999999999,7.5136,,8.651200000000001
flash,32k,fp16,16,8195,0.685546875,14.01585,9.29915,13.90545,7.4976,,9.843200000000001
flash,32k,fp16,32,8195,0.685546875,14.1119,9.4224,14.142299999999999,7.584,,10.673549999999999
flash,32k,fp16,64,8195,0.685546875,14.334299999999999,9.5472,14.28785,7.696,,10.527899999999999
flash,32k,fp16,128,8195,0.685546875,14.53905,9.782350000000001,14.515049999999999,8.0368,,10.798399999999999
flash,32k,fp16,256,8195,0.685546875,18.097450000000002,11.9775,12.7584,13.843200000000001,,10.42075
flash,32k,fp16,512,8195,0.685546875,31.2333,20.516650000000002,21.860599999999998,25.303900000000002,,18.23515
flash,32k,fp16,1024,8195,0.685546875,48.26515,30.98375,33.1982,42.6351,,30.358400000000003
flash,32k,fp32,1,8195,0.685546875,11.54865,9.392,10.1824,9.45115,6.4704,11.64
flash,32k,fp32,2,8195,0.685546875,11.35975,9.18045,10.2255,9.3072,6.06875,11.5808
flash,32k,fp32,4,8195,0.685546875,11.5184,9.378950000000001,10.08785,9.48475,6.14235,11.631950000000002
flash,32k,fp32,8,8195,0.685546875,11.3712,9.126149999999999,9.979049999999999,9.489600000000001,6.2078999999999995,11.8831
flash,32k,fp32,16,8195,0.685546875,11.537600000000001,9.31335,10.15505,9.507200000000001,6.078399999999999,14.44635
flash,32k,fp32,32,8195,0.685546875,11.6831,9.4559,10.266950000000001,9.66075,6.256,14.987200000000001
flash,32k,fp32,64,8195,0.685546875,11.846200000000001,9.63825,10.48125,9.81915,6.3792,14.35195
flash,32k,fp32,128,8195,0.685546875,12.347100000000001,10.2447,10.9885,10.3424,6.864,14.87515
flash,32k,fp32,256,8195,0.685546875,15.115,12.21115,14.06385,18.53265,8.753549999999999,13.30875
flash,32k,fp32,512,8195,0.685546875,27.20925,21.6397,25.00125,34.371199999999995,15.0879,23.238349999999997
flash,32k,fp32,1024,8195,0.685546875,48.197900000000004,38.6779,39.4139,58.1998,24.4815,39.2495
flash,4k,bf16,1,1027,0.638671875,8.30065,7.5919,7.89275,4.3024,,4.67675
flash,4k,bf16,2,1027,0.638671875,7.8462,7.491149999999999,7.6719,4.2576,,4.71195
flash,4k,bf16,4,1027,0.638671875,8.0303,7.71985,8.0527,4.7375,,5.057600000000001
flash,4k,bf16,8,1027,0.638671875,7.99195,7.6781999999999995,7.94865,4.9088,,5.3456
flash,4k,bf16,16,1027,0.638671875,8.2687,7.934399999999999,8.21755,5.2463500000000005,,5.4864
flash,4k,bf16,32,1027,0.638671875,8.3391,8.0527,8.31015,5.328,,5.5072
flash,4k,bf16,64,1027,0.638671875,8.5167,8.19195,8.427100000000001,5.4096,,5.6544
flash,4k,bf16,128,1027,0.638671875,8.79025,8.53425,8.77435,5.6256,,5.6879
flash,4k,bf16,256,1027,0.638671875,10.0863,9.39515,9.3888,9.409600000000001,,6.7008
flash,4k,bf16,512,1027,0.638671875,17.43015,16.497349999999997,16.290950000000002,16.5535,,11.721549999999999
flash,4k,bf16,1024,1027,0.638671875,26.68285,24.92775,24.6973,28.3167,,20.45275
flash,4k,fp16,1,1027,0.638671875,8.5471,7.7584,8.41115,5.2863999999999995,,5.3248
flash,4k,fp16,2,1027,0.638671875,8.302299999999999,7.82075,8.4032,5.272,,5.288
flash,4k,fp16,4,1027,0.638671875,8.0335,7.587149999999999,8.121550000000001,5.176,,5.272
flash,4k,fp16,8,1027,0.638671875,8.23995,7.77595,8.36315,5.228800000000001,,5.2783999999999995
flash,4k,fp16,16,1027,0.638671875,8.21755,7.6832,8.19515,5.166399999999999,,5.300800000000001
flash,4k,fp16,32,1027,0.638671875,8.47025,7.98075,8.54075,5.2656,,5.3344
flash,4k,fp16,64,1027,0.638671875,8.56465,8.022350000000001,8.64635,5.3056,,5.5088
flash,4k,fp16,128,1027,0.638671875,8.68795,8.1519,8.7711,5.5488,,5.46725
flash,4k,fp16,256,1027,0.638671875,10.1216,9.34075,9.3279,9.1376,,6.4576
flash,4k,fp16,512,1027,0.638671875,17.3056,16.52315,16.07505,16.4384,,11.2432
flash,4k,fp16,1024,1027,0.638671875,26.804599999999997,24.88305,24.5326,27.6672,,19.537599999999998
flash,4k,fp32,1,1027,0.638671875,9.24635,8.1264,8.494399999999999,5.9488,4.6704,6.42395
flash,4k,fp32,2,1027,0.638671875,8.7008,7.8048,8.3104,5.998399999999999,4.5424,6.5648
flash,4k,fp32,4,1027,0.638671875,8.776,7.887899999999999,8.187149999999999,6.054399999999999,4.504,6.6544
flash,4k,fp32,8,1027,0.638671875,8.78375,7.93585,8.2318,6.1568000000000005,4.4704,6.7008
flash,4k,fp32,16,1027,0.638671875,8.7631,7.9023,8.1694,6.1936,4.6064,6.771199999999999
flash,4k,fp32,32,1027,0.638671875,8.663799999999998,7.83975,8.2095,6.30075,4.5952,6.816
flash,4k,fp32,64,1027,0.638671875,8.7998,7.9343,8.3055,6.4048,4.6336,6.849600000000001
flash,4k,fp32,128,1027,0.638671875,9.022,8.112,8.44625,6.6112,4.857600000000001,7.0032
flash,4k,fp32,256,1027,0.638671875,10.0416,9.1567,10.5168,11.4064,5.6704,8.3264
flash,4k,fp32,512,1027,0.638671875,18.3966,16.828599999999998,18.634900000000002,20.96,9.6528,14.867149999999999
flash,4k,fp32,1024,1027,0.638671875,34.1707,30.93885,28.3533,35.4864,16.7488,26.39995
flash,512k,bf16,1,131075,0.056640625,42.46825,20.4317,22.4174,14.3024,,15.6768
flash,512k,bf16,2,131075,0.056640625,42.962650000000004,20.495849999999997,22.482950000000002,14.489600000000001,,16.0128
flash,512k,bf16,4,131075,0.056640625,43.271449999999994,20.5661,22.4909,14.884799999999998,,16.0144
flash,512k,bf16,8,131075,0.056640625,51.3306,23.575599999999998,23.25095,15.0048,,16.416
flash,512k,bf16,16,131075,0.056640625,51.8475,23.822,23.5133,17.796799999999998,,21.7536
flash,512k,bf16,32,131075,0.056640625,52.2602,24.145400000000002,29.06685,32.4704,,23.7264
flash,512k,bf16,64,131075,0.056640625,68.50155000000001,30.961599999999997,30.199650000000002,61.91045,,36.1024
flash,512k,bf16,128,131075,0.056640625,78.61185,36.18515,39.0395,63.9952,,64.28165
flash,512k,bf16,256,131075,0.056640625,152.90215,69.1432,66.5736,124.21119999999999,,132.45929999999998
flash,512k,bf16,512,131075,0.056640625,473.0795,185.2986,172.382,215.00164999999998,,239.00645
flash,512k,bf16,1024,131075,0.056640625,740.96115,291.3456,231.67239999999998,426.12809999999996,,422.19055
flash,512k,fp16,1,131075,0.056640625,43.22685,20.71335,23.35185,14.441600000000001,,11.792
flash,512k,fp16,2,131075,0.056640625,42.97885,20.7344,23.30375,14.2672,,11.9824
flash,512k,fp16,4,131075,0.056640625,43.02045,20.8764,23.36465,14.76,,12.0176
flash,512k,fp16,8,131075,0.056640625,51.38525,23.35825,23.74385,14.8,,12.2592
flash,512k,fp16,16,131075,0.056640625,51.677949999999996,23.675150000000002,24.08625,17.5184,,15.412799999999999
flash,512k,fp16,32,131075,0.056640625,52.11635,23.9997,30.010900000000003,31.0992,,16.9664
flash,512k,fp16,64,131075,0.056640625,69.45705000000001,30.867,31.1133,59.35515,,22.464
flash,512k,fp16,128,131075,0.056640625,77.34814999999999,35.59975,39.761199999999995,61.3344,,35.1424
flash,512k,fp16,256,131075,0.056640625,155.6132,68.19145,71.7114,119.29114999999999,,58.7984
flash,512k,fp16,512,131075,0.056640625,484.27635,190.7665,178.82275,205.88315,,106.4736
flash,512k,fp16,1024,131075,0.056640625,750.4806,295.34655,271.3595,407.7264,,177.18075
flash,512k,fp32,1,131075,0.056640625,43.305099999999996,20.265349999999998,22.734150000000003,19.723200000000002,13.6256,18.56
flash,512k,fp32,2,131075,0.056640625,44.0762,20.708599999999997,23.07495,20.0672,13.654399999999999,18.4576
