model,isl,L,K,npad,h,onepass6,onepass8,best_c
v32,16k,4,2048,16448,0.788,1,1,2614
v32,16k,5,2048,16448,0.873,1,1,2062
v32,16k,6,2048,16448,0.880,1,1,6942
v32,16k,7,2048,16448,0.825,1,1,2276
v32,16k,8,2048,16448,0.846,1,1,2178
v32,16k,9,2048,16448,0.825,1,1,2361
v32,16k,10,2048,16448,0.867,1,1,2088
v32,16k,11,2048,16448,0.831,1,1,2301
v32,16k,12,2048,16448,0.858,1,1,2137
v32,16k,13,2048,16448,0.890,1,1,3659
v32,16k,14,2048,16448,0.902,1,1,3357
v32,16k,15,2048,16448,0.885,1,1,5302
v32,16k,16,2048,16448,0.856,1,1,2167
v32,16k,17,2048,16448,0.747,1,1,2063
v32,16k,18,2048,16448,0.908,1,1,4595
v32,16k,19,2048,16448,0.864,1,1,2106
v32,16k,20,2048,16448,0.738,1,1,2124
v32,16k,21,2048,16448,0.743,1,1,2077
v32,16k,22,2048,16448,0.791,1,1,2521
v32,16k,23,2048,16448,0.779,1,1,2668
v32,16k,24,2048,16448,0.750,1,1,2900
v32,16k,25,2048,16448,0.661,1,1,2675
v32,16k,26,2048,16448,0.537,1,1,2689
v32,16k,27,2048,16448,0.606,1,1,2170
v32,16k,28,2048,16448,0.459,1,1,2318
v32,16k,29,2048,16448,0.529,1,1,2851
v32,16k,30,2048,16448,0.496,1,1,2074
v32,16k,31,2048,16448,0.481,1,1,2187
v32,16k,32,2048,16448,0.513,1,1,2928
v32,16k,33,2048,16448,0.258,1,1,3199
v32,16k,34,2048,16448,0.533,1,1,2772
v32,16k,35,2048,16448,0.438,1,1,2481
v32,16k,36,2048,16448,0.672,1,1,2623
v32,16k,37,2048,16448,0.646,1,1,2861
v32,16k,38,2048,16448,0.686,1,1,2435
v32,16k,39,2048,16448,0.713,1,1,2208
v32,16k,40,2048,16448,0.712,1,1,2252
v32,16k,41,2048,16448,0.811,1,1,2413
v32,16k,42,2048,16448,0.742,1,1,2079
v32,16k,43,2048,16448,0.631,1,1,2704
v32,16k,44,2048,16448,0.723,1,1,2205
v32,16k,45,2048,16448,0.715,1,1,2217
v32,16k,46,2048,16448,0.505,1,1,2908
v32,16k,47,2048,16448,0.621,1,1,2067
v32,16k,48,2048,16448,0.621,1,1,2081
v32,16k,49,2048,16448,0.669,1,1,2627
v32,16k,50,2048,16448,0.598,1,1,2224
v32,16k,51,2048,16448,0.559,1,1,2557
v32,16k,52,2048,16448,0.784,1,1,2642
v32,16k,53,2048,16448,0.729,1,1,2167
v32,16k,54,2048,16448,0.676,1,1,2581
v32,16k,55,2048,16448,0.684,1,1,2471
v32,16k,56,2048,16448,0.709,1,1,2307
v32,16k,57,2048,16448,0.825,1,1,2326
v32,16k,58,2048,16448,0.857,1,1,2129
v32,16k,59,2048,16448,0.772,1,1,2786
v32,16k,60,2048,16448,0.857,1,1,2147
v32,256k,3,2048,163776,0.845,1,1,2185
v32,256k,4,2048,163776,0.899,1,1,3543
v32,256k,5,2048,163776,0.920,1,1,4130
v32,256k,6,2048,163776,0.762,1,1,2962
v32,256k,7,2048,163776,0.801,1,1,2527
v32,256k,8,2048,163776,0.836,1,1,2301
v32,256k,9,2048,163776,0.935,1,1,4680
v32,256k,10,2048,163776,0.845,1,1,2201
v32,256k,11,2048,163776,0.850,1,1,2162
v32,256k,12,2048,163776,0.730,1,1,2140
v32,256k,13,2048,163776,0.852,1,1,2167
v32,256k,14,2048,163776,0.913,1,1,4739
v32,256k,15,2048,163776,0.890,1,1,5670
v32,256k,16,2048,163776,0.779,1,1,2582
v32,256k,17,2048,163776,0.763,1,1,2718
v32,256k,18,2048,163776,0.919,1,1,4848
v32,256k,19,2048,163776,0.887,1,1,3868
v32,256k,20,2048,163776,0.831,1,1,2325
v32,256k,21,2048,163776,0.841,1,1,2223
v32,256k,22,2048,163776,0.894,1,1,3546
v32,256k,23,2048,163776,0.830,1,1,2282
