cell,BS,champ_us,pr_us,speedup,exact
pro_32k_L30,4,11.876,10.7887,0.9085,OK
pro_32k_L30,8,11.909,10.80945,0.9077,OK
pro_32k_L30,16,12.038,11.04785,0.9177,OK
pro_32k_L30,32,12.096,11.35345,0.9386,OK
pro_32k_L30,64,12.336,11.5438,0.9358,OK
pro_32k_L30,128,12.719,12.05575,0.9479,OK
pro_32k_L30,256,16.159,14.82545,0.9175,OK
pro_32k_L30,512,13.536,26.927599999999998,1.9893,OK
pro_32k_L30,1024,13.957,48.85535,3.5003,OK
pro_32k_L46,1,11.067,9.424,0.8516,OK
pro_32k_L46,2,11.08,9.4383,0.8518,OK
pro_32k_L46,4,11.128,9.6607,0.8681,OK
pro_32k_L46,8,11.205,9.625549999999999,0.859,OK
pro_32k_L46,16,11.343,9.7839,0.8626,OK
pro_32k_L46,32,11.479,9.995149999999999,0.8707,OK
pro_32k_L46,64,11.68,10.254299999999999,0.8779,OK
pro_32k_L46,128,12.133,10.8143,0.8913,OK
pro_32k_L46,256,15.462,13.01915,0.842,OK
pro_32k_L46,512,12.936,23.619,1.8258,OK
pro_32k_L46,1024,13.394,42.7915,3.1949,OK
pro_4k_L14,1,4.719,9.32145,1.9754,OK
pro_4k_L14,2,4.965,9.2765,1.8683,OK
pro_4k_L14,4,4.874,9.510399999999999,1.9512,OK
pro_4k_L14,8,4.829,9.29755,1.9255,OK
pro_4k_L14,16,5.159,9.291049999999998,1.801,OK
pro_4k_L14,32,5.337,9.5999,1.7988,OK
pro_4k_L14,64,5.406,9.6111,1.7779,OK
pro_4k_L14,128,5.601,9.849450000000001,1.7586,OK
pro_4k_L14,256,8.31,10.844700000000001,1.305,OK
pro_4k_L14,512,6.518,20.190099999999997,3.0974,OK
pro_4k_L14,1024,7.069,37.91,5.3626,OK
pro_4k_L30,1,5.048,9.219100000000001,1.8264,OK
pro_4k_L30,2,5.293,9.092600000000001,1.7179,OK
pro_4k_L30,4,5.293,9.0127,1.7028,OK
pro_4k_L30,8,5.227,9.211049999999998,1.7621,OK
pro_4k_L30,16,5.297,9.3582,1.7666,OK
pro_4k_L30,32,5.355,9.53415,1.7803,OK
pro_4k_L30,64,5.405,9.601450000000002,1.7763,OK
pro_4k_L30,128,5.626,9.8463,1.7501,OK
pro_4k_L30,256,8.255,10.88785,1.3189,OK
pro_4k_L30,512,7.112,20.260450000000002,2.8487,OK
pro_4k_L30,1024,7.217,37.97215,5.2613,OK
