scenario,K,N,BS,hit_rate,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,sglang_streaming_cold_us,sglang_streaming_warm_us,sglang_v2_cold_us,sglang_v2_warm_us,flashinfer_topk_cold_us,flashinfer_topk_warm_us,flashinfer_topk_i32_cold_us,flashinfer_topk_i32_warm_us,sglang_v2_cold_span_us,sglang_v2_warm_span_us,anchor_ratio,rr_op21_hls_cold_us_adj,rr_op25_hls_cold_us_adj,rr_op26_r0auto_cold_us_adj,rr_gvr_multicta_cutedsl_cold_us_adj,rr_radix_single_cuda_cold_us_adj,rr_radix_multi_cuda_cold_us_adj
best,1024,131072,1,0.5498046875,27.144,24.775,19.757,18.898,44.532,44.055,10.75,9.351,15.144,13.475,14.942,13.316,10.75,9.351,1.0038,15.143,15.683,17.022,19.137,73.884,43.793
best,1024,262144,1,0.5498046875,41.992,38.54,19.482,18.702,79.764,79.927,13.347,11.283,17.962,15.126,18.041,15.044,13.347,11.283,1.0026,18.05,16.795,23.94,24.399,131.563,50.266
best,1024,524288,1,0.5498046875,69.563,64.281,19.683,18.831,150.469,151.815,20.744,17.172,26.395,21.587,27.129,21.655,20.744,17.172,0.9987,24.255,20.525,28.054,32.412,245.207,64.327
best,1024,1048576,1,0.5498046875,120.879,112.148,20.542,19.202,288.19,292.123,30.672,23.934,40.344,31.312,42.386,31.779,30.672,23.934,1.0018,36.135,26.437,39.969,44.178,472.193,89.815
best,2048,8192,1,0.5498046875,13.338,12.143,8.016,7.465,,,5.768,4.793,11.681,10.97,11.121,10.514,5.768,4.793,1.0103,12.389,12.398,16.208,13.509,16.636,24.315
best,2048,16384,1,0.5498046875,16.533,15.198,12.574,11.882,,,8.229,7.192,11.81,10.716,11.422,10.371,8.229,7.192,1.0136,14.794,14.922,15.035,16.568,20.99,27.626
best,2048,32768,1,0.5498046875,19.078,17.302,20.086,19.305,,,12.803,10.42,11.606,10.889,11.248,10.618,12.803,10.42,0.9983,18.902,18.945,16.905,19.05,30.192,42.462
best,2048,65536,1,0.5498046875,23.398,21.789,19.83,19.188,,,11.4,10.17,12.763,11.767,12.483,11.425,11.4,10.17,1.0017,15.787,16.13,19.266,19.122,47.948,44.954
best,2048,131072,1,0.5498046875,30.518,28.139,20.176,19.448,,,13.074,11.499,15.438,13.89,15.073,13.54,13.074,11.499,1.0005,16.906,17.558,19.387,19.6,77.456,48.291
best,2048,262144,1,0.5498046875,45.686,42.608,20.238,19.272,,,16.496,14.144,21.184,18.524,21.104,18.249,16.496,14.144,0.9984,17.606,18.005,22.895,25.005,134.391,55.229
best,2048,524288,1,0.5498046875,75.251,70.262,20.246,19.354,,,22.816,19.128,34.944,30.107,35.15,29.673,22.816,19.128,0.9998,21.871,22.407,30.847,31.893,250.766,71.243
best,2048,1048576,1,0.5498046875,136.561,128.151,21.561,20.155,,,33.093,26.418,53.851,45.08,55.388,45.212,33.093,26.418,0.9982,27.957,28.454,43.689,47.649,476.306,97.682
real,512,4096,1,0.720703125,11.819,10.247,6.733,6.34,7.506,7.03,4.685,4.51,6.384,5.802,6.17,5.608,4.685,4.51,0.9776,9.884,10.708,9.184,11.64,13.743,34.045
real,512,8192,1,0.515625,12.11,10.444,7.954,7.236,8.446,7.342,5.421,4.532,11.158,10.33,10.867,10.078,5.421,4.532,0.9887,10.664,11.589,12.263,11.984,16.805,36.021
real,512,16384,1,0.669921875,15.189,13.581,12.219,11.354,11.237,10.097,7.16,6.125,11.816,10.719,11.481,10.479,7.16,6.125,0.9941,11.516,13.566,12.508,15.191,20.282,35.524
real,512,32768,1,0.7265625,17.451,15.477,19.907,18.896,15.859,14.843,11.246,8.818,11.214,10.494,10.97,10.283,11.246,8.818,1.0013,13.312,14.059,13.467,17.477,27.279,37.861
real,512,65536,1,0.841796875,33.228,31.368,20.224,19.28,25.622,25.033,15.129,11.471,12.858,12.642,12.769,12.554,15.129,11.471,1.0032,19.427,13.116,14.368,23.362,43.043,40.507
real,512,131072,1,0.845703125,25.531,22.89,19.555,18.812,43.238,42.512,10.617,9.052,14.392,12.777,14.293,12.657,10.617,9.052,0.9899,21.645,14.378,14.706,17.715,71.075,43.13
real,512,262144,1,0.47265625,39.244,35.744,19.452,18.835,77.911,77.795,14.51,12.238,19.261,16.652,19.414,16.615,14.51,12.238,1.0035,17.649,15.91,18.857,21.898,127.402,48.105
real,512,524288,1,0.73046875,63.121,57.709,19.446,18.633,148.318,149.126,19.761,16.093,24.691,19.871,25.4,19.956,19.761,16.093,1.0016,23.453,18.791,24.287,26.411,240.419,61.508
