family,sweep,scenario,model,op,K,dtype,N,BS,isl,cr,hit,us,us_span,exact
real,bs,,flash,gvr_base,512,bf16,4099,1,16k,4,0.34375,8.643049999999999,8.643049999999999,True
real,bs,,flash,gvr_pr,512,bf16,4099,1,16k,4,0.34375,7.9263,7.9263,True
real,bs,,flash,op26_r0auto,512,bf16,4099,1,16k,4,0.34375,8.3007,8.3007,
real,bs,,flash,radix_cutedsl,512,bf16,4099,1,16k,4,0.34375,6.1903999999999995,6.1903999999999995,True
real,bs,,flash,flashinfer_topk,512,bf16,4099,2,16k,4,0.34375,6.5488,6.5488,True
real,bs,,flash,gvr_base,512,bf16,4099,2,16k,4,0.34375,8.208,8.208,True
real,bs,,flash,gvr_pr,512,bf16,4099,2,16k,4,0.34375,7.64475,7.64475,True
real,bs,,flash,op26_r0auto,512,bf16,4099,2,16k,4,0.34375,7.9712,7.9712,
real,bs,,flash,radix_cutedsl,512,bf16,4099,2,16k,4,0.34375,6.292800000000001,6.292800000000001,True
real,bs,,flash,flashinfer_topk,512,bf16,4099,4,16k,4,0.34375,6.5728,6.5728,True
real,bs,,flash,gvr_base,512,bf16,4099,4,16k,4,0.34375,8.35835,8.35835,True
real,bs,,flash,gvr_pr,512,bf16,4099,4,16k,4,0.34375,7.7375,7.7375,True
real,bs,,flash,op26_r0auto,512,bf16,4099,4,16k,4,0.34375,8.06715,8.06715,
real,bs,,flash,radix_cutedsl,512,bf16,4099,4,16k,4,0.34375,6.3599499999999995,6.3599499999999995,True
real,bs,,flash,flashinfer_topk,512,bf16,4099,8,16k,4,0.34375,6.6432,6.6432,True
real,bs,,flash,gvr_base,512,bf16,4099,8,16k,4,0.34375,8.2064,8.2064,True
real,bs,,flash,gvr_pr,512,bf16,4099,8,16k,4,0.34375,7.68635,7.68635,True
real,bs,,flash,op26_r0auto,512,bf16,4099,8,16k,4,0.34375,7.89915,7.89915,
real,bs,,flash,radix_cutedsl,512,bf16,4099,8,16k,4,0.34375,6.4064,6.4064,True
real,bs,,flash,flashinfer_topk,512,bf16,4099,16,16k,4,0.34375,6.688,6.688,True
real,bs,,flash,gvr_base,512,bf16,4099,16,16k,4,0.34375,8.5967,8.5967,True
real,bs,,flash,gvr_pr,512,bf16,4099,16,16k,4,0.34375,7.99995,7.99995,True
real,bs,,flash,op26_r0auto,512,bf16,4099,16,16k,4,0.34375,8.23665,8.23665,
real,bs,,flash,radix_cutedsl,512,bf16,4099,16,16k,4,0.34375,6.3536,6.3536,True
real,bs,,flash,flashinfer_topk,512,bf16,4099,32,16k,4,0.34375,6.68,6.68,True
real,bs,,flash,gvr_base,512,bf16,4099,32,16k,4,0.34375,8.87195,8.87195,True
real,bs,,flash,gvr_pr,512,bf16,4099,32,16k,4,0.34375,8.3215,8.3215,True
real,bs,,flash,op26_r0auto,512,bf16,4099,32,16k,4,0.34375,8.52625,8.52625,
real,bs,,flash,radix_cutedsl,512,bf16,4099,32,16k,4,0.34375,6.4176,6.4176,True
real,bs,,flash,flashinfer_topk,512,bf16,4099,64,16k,4,0.34375,6.7936000000000005,6.7936000000000005,True
real,bs,,flash,gvr_base,512,bf16,4099,64,16k,4,0.34375,8.899149999999999,8.899149999999999,True
real,bs,,flash,gvr_pr,512,bf16,4099,64,16k,4,0.34375,8.393600000000001,8.393600000000001,True
real,bs,,flash,op26_r0auto,512,bf16,4099,64,16k,4,0.34375,8.6127,8.6127,
real,bs,,flash,radix_cutedsl,512,bf16,4099,64,16k,4,0.34375,6.496,6.496,True
real,bs,,flash,flashinfer_topk,512,bf16,4099,128,16k,4,0.34375,6.936,6.936,True
real,bs,,flash,gvr_base,512,bf16,4099,128,16k,4,0.34375,9.2559,9.2559,True
real,bs,,flash,gvr_pr,512,bf16,4099,128,16k,4,0.34375,8.66555,8.66555,True
real,bs,,flash,op26_r0auto,512,bf16,4099,128,16k,4,0.34375,8.95515,8.95515,
real,bs,,flash,radix_cutedsl,512,bf16,4099,128,16k,4,0.34375,6.8288,6.8288,True
real,bs,,flash,flashinfer_topk,512,bf16,4099,256,16k,4,0.34375,8.8304,8.8304,True
real,bs,,flash,gvr_base,512,bf16,4099,256,16k,4,0.34375,10.4207,10.4207,True
real,bs,,flash,gvr_pr,512,bf16,4099,256,16k,4,0.34375,9.88625,9.88625,True
real,bs,,flash,op26_r0auto,512,bf16,4099,256,16k,4,0.34375,9.4719,9.4719,
