model,isl,L,dtype,N,cs,BS,hit,base,pr,op26,pr_vs_base,op26_vs_pr,pr_exact
v32,16k,34,fp16,16399,1,1,0.53271484375,14.33575,12.323,14.446200000000001,1.163,1.172,True
v32,16k,34,fp16,16399,1,2,0.53271484375,14.51335,12.38545,15.59025,1.172,1.259,True
v32,16k,34,fp16,16399,1,4,0.53271484375,14.53415,12.399700000000001,15.1454,1.172,1.221,True
v32,16k,34,fp16,16399,1,8,0.53271484375,14.5966,12.473450000000001,14.585450000000002,1.17,1.169,True
v32,16k,34,fp16,16399,1,16,0.53271484375,14.834950000000001,12.801350000000001,15.22225,1.159,1.189,True
v32,16k,34,fp16,16399,1,32,0.53271484375,15.19175,13.09255,15.58225,1.16,1.19,True
v32,16k,34,fp16,16399,1,64,0.53271484375,15.369399999999999,13.1998,15.353399999999999,1.164,1.163,True
v32,16k,34,fp16,16399,1,128,0.53271484375,16.14855,13.977549999999999,16.6127,1.155,1.189,True
v32,16k,34,fp16,16399,1,256,0.53271484375,20.66525,17.855700000000002,21.62695,1.157,1.211,True
v32,16k,34,fp16,16399,1,512,0.53271484375,35.9898,30.7867,37.580400000000004,1.169,1.221,True
v32,16k,34,fp16,16399,1,1024,0.53271484375,56.895050000000005,47.320800000000006,58.682449999999996,1.202,1.24,True
v32,16k,34,fp32,16399,1,1,0.53271484375,27.313299999999998,13.2271,13.923,2.065,1.053,True
v32,16k,34,fp32,16399,1,2,0.53271484375,27.0477,13.107149999999999,13.6943,2.064,1.045,True
v32,16k,34,fp32,16399,1,4,0.53271484375,27.2621,13.281450000000001,13.6943,2.053,1.031,True
v32,16k,34,fp32,16399,1,8,0.53271484375,27.078,13.1439,13.700700000000001,2.06,1.042,True
v32,16k,34,fp32,16399,1,16,0.53271484375,27.57725,13.510200000000001,14.21885,2.041,1.052,True
v32,16k,34,fp32,16399,1,32,0.53271484375,28.01405,13.8751,14.53735,2.019,1.048,True
v32,16k,34,fp32,16399,1,64,0.53271484375,28.510099999999998,14.42865,14.990350000000001,1.976,1.039,True
v32,16k,34,fp32,16399,1,128,0.53271484375,29.52595,15.22215,15.92305,1.94,1.046,True
v32,16k,34,fp32,16399,1,256,0.53271484375,41.03315,20.14545,22.4942,2.037,1.117,True
v32,16k,34,fp32,16399,1,512,0.53271484375,76.99435000000001,37.34345,38.460449999999994,2.062,1.03,True
v32,16k,34,fp32,16399,1,1024,0.53271484375,130.5636,67.5721,63.15605,1.932,0.935,True
v32,32k,34,bf16,32783,1,1,0.43017578125,20.700599999999998,16.403,21.1835,1.262,1.291,True
v32,32k,34,bf16,32783,1,2,0.43017578125,20.63475,16.25105,19.2046,1.27,1.182,True
v32,32k,34,bf16,32783,1,4,0.43017578125,20.6846,16.2831,17.977349999999998,1.27,1.104,True
