model,isl,N,K,L,hit,op,us,us_span,exact
v32,64k,65551,2048,14,0.854,radix_cutedsl,19.2062,19.2062,True
v32,64k,65551,2048,14,0.854,sglang_v2,10.2975,10.2975,True
v32,64k,65551,2048,14,0.854,flashinfer_topk,14.3758,14.3758,True
v32,64k,65551,2048,34,0.406,op26_r0auto,18.0254,18.0254,
v32,64k,65551,2048,34,0.406,radix_cutedsl,19.2926,19.2926,True
v32,64k,65551,2048,34,0.406,sglang_v2,12.163,12.163,True
v32,64k,65551,2048,34,0.406,flashinfer_topk,14.5678,14.5678,True
v32,64k,65551,2048,54,0.745,op26_r0auto,18.403,18.403,
v32,64k,65551,2048,54,0.745,radix_cutedsl,19.0446,19.0446,True
v32,64k,65551,2048,54,0.745,sglang_v2,12.0558,12.0558,True
v32,64k,65551,2048,54,0.745,flashinfer_topk,13.7278,13.7278,True
v32,128k,131087,2048,14,0.904,op26_r0auto,18.6445,18.6445,
v32,128k,131087,2048,14,0.904,radix_cutedsl,19.3998,19.3998,True
v32,128k,131087,2048,14,0.904,sglang_v2,15.0189,15.0189,True
v32,128k,131087,2048,14,0.904,flashinfer_topk,18.7693,18.7693,True
v32,128k,131087,2048,34,0.62,op26_r0auto,16.995,16.995,
v32,128k,131087,2048,34,0.62,radix_cutedsl,19.4958,19.4958,True
v32,128k,131087,2048,34,0.62,sglang_v2,14.8143,14.8143,True
v32,128k,131087,2048,34,0.62,flashinfer_topk,19.5662,19.5662,True
v32,128k,131087,2048,54,0.93,op26_r0auto,17.8526,17.8526,
v32,128k,131087,2048,54,0.93,radix_cutedsl,19.2335,19.2335,True
v32,128k,131087,2048,54,0.93,sglang_v2,15.1677,15.1677,True
v32,128k,131087,2048,54,0.93,flashinfer_topk,15.7598,15.7598,True
v32,256k,163775,2048,14,0.913,op26_r0auto,20.9422,20.9422,
v32,256k,163775,2048,14,0.913,radix_cutedsl,20.1166,20.1166,True
v32,256k,163775,2048,14,0.913,sglang_v2,15.9229,15.9229,True
v32,256k,163775,2048,14,0.913,flashinfer_topk,21.5501,21.5501,True
v32,256k,163775,2048,34,0.865,op26_r0auto,18.9822,18.9822,
v32,256k,163775,2048,34,0.865,radix_cutedsl,19.7517,19.7517,True
v32,256k,163775,2048,34,0.865,sglang_v2,14.4735,14.4735,True
v32,256k,163775,2048,34,0.865,flashinfer_topk,16.8301,16.8301,True
v32,256k,163775,2048,54,0.865,op26_r0auto,18.171,18.171,
v32,256k,163775,2048,54,0.865,radix_cutedsl,19.8894,19.8894,True
v32,256k,163775,2048,54,0.865,sglang_v2,14.7677,14.7677,True
v32,256k,163775,2048,54,0.865,flashinfer_topk,17.7357,17.7357,True
