model,isl,N,K,L,hit,op,us,us_span,exact
flash,16k,4099,512,22,0.344,sglang_v2,5.5584,5.5584,True
flash,16k,4099,512,22,0.344,flashinfer_topk,7.3903,7.3903,True
flash,16k,4099,512,24,0.266,radix_cutedsl,6.8912,6.8912,True
flash,16k,4099,512,24,0.266,sglang_v2,5.4864,5.4864,True
flash,16k,4099,512,24,0.266,flashinfer_topk,7.2032,7.2032,True
flash,16k,4099,512,26,0.346,radix_cutedsl,7.1856,7.1856,True
flash,16k,4099,512,26,0.346,sglang_v2,5.6079,5.6079,True
flash,16k,4099,512,26,0.346,flashinfer_topk,7.7711,7.7711,True
flash,16k,4099,512,28,0.627,radix_cutedsl,6.8736,6.8736,True
flash,16k,4099,512,28,0.627,sglang_v2,5.896,5.896,True
flash,16k,4099,512,28,0.627,flashinfer_topk,7.9808,7.9808,True
flash,16k,4099,512,30,0.545,radix_cutedsl,6.9456,6.9456,True
flash,16k,4099,512,30,0.545,sglang_v2,5.4336,5.4336,True
flash,16k,4099,512,30,0.545,flashinfer_topk,7.5023,7.5023,True
flash,16k,4099,512,32,0.303,radix_cutedsl,7.2416,7.2416,True
flash,16k,4099,512,32,0.303,sglang_v2,5.4624,5.4624,True
flash,16k,4099,512,32,0.303,flashinfer_topk,7.3216,7.3216,True
flash,16k,4099,512,34,0.348,radix_cutedsl,6.8735,6.8735,True
flash,16k,4099,512,34,0.348,sglang_v2,5.4512,5.4512,True
flash,16k,4099,512,34,0.348,flashinfer_topk,7.4751,7.4751,True
flash,16k,4099,512,36,0.916,radix_cutedsl,6.8446,6.8446,True
flash,16k,4099,512,36,0.916,sglang_v2,5.5808,5.5808,True
flash,16k,4099,512,36,0.916,flashinfer_topk,7.272,7.272,True
flash,16k,4099,512,38,0.508,radix_cutedsl,7.112,7.112,True
flash,16k,4099,512,38,0.508,sglang_v2,5.4736,5.4736,True
flash,16k,4099,512,38,0.508,flashinfer_topk,7.6656,7.6656,True
flash,16k,4099,512,40,0.605,radix_cutedsl,6.8384,6.8384,True
flash,16k,4099,512,40,0.605,sglang_v2,5.5871,5.5871,True
flash,16k,4099,512,40,0.605,flashinfer_topk,7.6303,7.6303,True
flash,16k,4099,512,42,0.824,radix_cutedsl,6.8432,6.8432,True
flash,16k,4099,512,42,0.824,sglang_v2,5.7919,5.7919,True
flash,16k,4099,512,42,0.824,flashinfer_topk,7.9344,7.9344,True
