model,isl,N,K,L,BS,hit,op,us,us_span,exact
flash,32k,8195,512,10,512,0.723,sglang_v2,15.6158,15.6158,True
flash,32k,8195,512,10,512,0.723,flashinfer_topk,24.6429,24.6429,True
flash,32k,8195,512,10,1024,0.723,gvr_pr,40.0156,40.0156,True
flash,32k,8195,512,10,1024,0.723,radix_cutedsl,58.5689,58.5689,True
flash,32k,8195,512,10,1024,0.723,sglang_v2,25.5254,25.5254,True
flash,32k,8195,512,10,1024,0.723,flashinfer_topk,41.5771,41.5771,True
flash,64k,16387,512,10,1,0.582,gvr_pr,10.9999,10.9999,True
flash,64k,16387,512,10,1,0.582,radix_cutedsl,18.291,18.291,True
flash,64k,16387,512,10,1,0.582,sglang_v2,8.5295,8.5295,True
flash,64k,16387,512,10,1,0.582,flashinfer_topk,12.0943,12.0943,True
flash,64k,16387,512,10,2,0.582,gvr_pr,10.848,10.848,True
flash,64k,16387,512,10,2,0.582,radix_cutedsl,18.3726,18.3726,True
flash,64k,16387,512,10,2,0.582,sglang_v2,8.5167,8.5167,True
flash,64k,16387,512,10,2,0.582,flashinfer_topk,12.1358,12.1358,True
flash,64k,16387,512,10,4,0.582,gvr_pr,11.0015,11.0015,True
flash,64k,16387,512,10,4,0.582,radix_cutedsl,18.3758,18.3758,True
flash,64k,16387,512,10,4,0.582,sglang_v2,8.6128,8.6128,True
flash,64k,16387,512,10,4,0.582,flashinfer_topk,12.1471,12.1471,True
flash,64k,16387,512,10,8,0.582,gvr_pr,10.8287,10.8287,True
flash,64k,16387,512,10,8,0.582,radix_cutedsl,19.9871,19.9871,True
flash,64k,16387,512,10,8,0.582,sglang_v2,8.6654,8.6654,True
flash,64k,16387,512,10,8,0.582,flashinfer_topk,12.2799,12.2799,True
flash,64k,16387,512,10,16,0.582,gvr_pr,10.9966,10.9966,True
flash,64k,16387,512,10,16,0.582,radix_cutedsl,20.4175,20.4175,True
flash,64k,16387,512,10,16,0.582,sglang_v2,8.6702,8.6702,True
flash,64k,16387,512,10,16,0.582,flashinfer_topk,14.6399,14.6399,True
flash,64k,16387,512,10,32,0.582,gvr_pr,11.067,11.067,True
flash,64k,16387,512,10,32,0.582,radix_cutedsl,21.1229,21.1229,True
flash,64k,16387,512,10,32,0.582,sglang_v2,8.7248,8.7248,True
flash,64k,16387,512,10,32,0.582,flashinfer_topk,15.4734,15.4734,True
flash,64k,16387,512,10,64,0.582,gvr_pr,11.376,11.376,True
flash,64k,16387,512,10,64,0.582,radix_cutedsl,13.2239,13.2239,True
flash,64k,16387,512,10,64,0.582,sglang_v2,9.1359,9.1359,True
flash,64k,16387,512,10,64,0.582,flashinfer_topk,15.2431,15.2431,True
flash,64k,16387,512,10,128,0.582,gvr_pr,12.2846,12.2846,True
flash,64k,16387,512,10,128,0.582,radix_cutedsl,14.0526,14.0526,True
flash,64k,16387,512,10,128,0.582,sglang_v2,9.8079,9.8079,True
flash,64k,16387,512,10,128,0.582,flashinfer_topk,16.9022,16.9022,True
flash,64k,16387,512,10,256,0.582,gvr_pr,15.235,15.235,True
flash,64k,16387,512,10,256,0.582,radix_cutedsl,25.2621,25.2621,True
flash,64k,16387,512,10,256,0.582,sglang_v2,12.6014,12.6014,True
flash,64k,16387,512,10,256,0.582,flashinfer_topk,16.8861,16.8861,True
flash,64k,16387,512,10,512,0.582,gvr_pr,27.6493,27.6493,True
flash,64k,16387,512,10,512,0.582,radix_cutedsl,47.7707,47.7707,True
flash,64k,16387,512,10,512,0.582,sglang_v2,22.5021,22.5021,True
flash,64k,16387,512,10,512,0.582,flashinfer_topk,30.1358,30.1358,True
flash,64k,16387,512,10,1024,0.582,gvr_pr,49.4986,49.4986,True
flash,64k,16387,512,10,1024,0.582,radix_cutedsl,83.0839,83.0839,True
flash,64k,16387,512,10,1024,0.582,sglang_v2,38.5996,38.5996,True
flash,64k,16387,512,10,1024,0.582,flashinfer_topk,51.6473,51.6473,True
flash,128k,32771,512,10,1,0.523,gvr_pr,13.4398,13.4398,True
flash,128k,32771,512,10,1,0.523,radix_cutedsl,18.1998,18.1998,True
flash,128k,32771,512,10,1,0.523,sglang_v2,9.5871,9.5871,True
flash,128k,32771,512,10,1,0.523,flashinfer_topk,12.0431,12.0431,True
flash,128k,32771,512,10,2,0.523,gvr_pr,13.4174,13.4174,True
flash,128k,32771,512,10,2,0.523,radix_cutedsl,19.2045,19.2045,True
flash,128k,32771,512,10,2,0.523,sglang_v2,9.5326,9.5326,True
flash,128k,32771,512,10,2,0.523,flashinfer_topk,12.0495,12.0495,True
flash,128k,32771,512,10,4,0.523,gvr_pr,13.4318,13.4318,True
flash,128k,32771,512,10,4,0.523,radix_cutedsl,20.147,20.147,True
flash,128k,32771,512,10,4,0.523,sglang_v2,9.5615,9.5615,True
flash,128k,32771,512,10,4,0.523,flashinfer_topk,12.1406,12.1406,True
flash,128k,32771,512,10,8,0.523,gvr_pr,13.3261,13.3261,True
flash,128k,32771,512,10,8,0.523,radix_cutedsl,20.7309,20.7309,True
flash,128k,32771,512,10,8,0.523,sglang_v2,9.6287,9.6287,True
flash,128k,32771,512,10,8,0.523,flashinfer_topk,12.4462,12.4462,True
flash,128k,32771,512,10,16,0.523,gvr_pr,13.4687,13.4687,True
flash,128k,32771,512,10,16,0.523,radix_cutedsl,20.5663,20.5663,True
flash,128k,32771,512,10,16,0.523,sglang_v2,12.0734,12.0734,True
flash,128k,32771,512,10,16,0.523,flashinfer_topk,14.5615,14.5615,True
flash,128k,32771,512,10,32,0.523,gvr_pr,13.6608,13.6608,True
flash,128k,32771,512,10,32,0.523,radix_cutedsl,24.5213,24.5213,True
flash,128k,32771,512,10,32,0.523,sglang_v2,12.1935,12.1935,True
flash,128k,32771,512,10,32,0.523,flashinfer_topk,16.3902,16.3902,True
flash,128k,32771,512,10,64,0.523,gvr_pr,14.3885,14.3885,True
flash,128k,32771,512,10,64,0.523,radix_cutedsl,30.59,30.59,True
flash,128k,32771,512,10,64,0.523,sglang_v2,12.6942,12.6942,True
flash,128k,32771,512,10,64,0.523,flashinfer_topk,17.555,17.555,True
flash,128k,32771,512,10,128,0.523,gvr_pr,15.3246,15.3246,True
flash,128k,32771,512,10,128,0.523,radix_cutedsl,20.6157,20.6157,True
flash,128k,32771,512,10,128,0.523,sglang_v2,13.4318,13.4318,True
flash,128k,32771,512,10,128,0.523,flashinfer_topk,21.2141,21.2141,True
flash,128k,32771,512,10,256,0.523,gvr_pr,20.8747,20.8747,True
flash,128k,32771,512,10,256,0.523,radix_cutedsl,38.5067,38.5067,True
flash,128k,32771,512,10,256,0.523,sglang_v2,18.1294,18.1294,True
flash,128k,32771,512,10,256,0.523,flashinfer_topk,26.3645,26.3645,True
flash,128k,32771,512,10,512,0.523,gvr_pr,39.1036,39.1036,True
flash,128k,32771,512,10,512,0.523,radix_cutedsl,75.3143,75.3143,True
flash,128k,32771,512,10,512,0.523,sglang_v2,34.2428,34.2428,True
flash,128k,32771,512,10,512,0.523,flashinfer_topk,47.6106,47.6106,True
flash,128k,32771,512,10,1024,0.523,gvr_pr,68.0296,68.0296,True
flash,128k,32771,512,10,1024,0.523,radix_cutedsl,131.4978,131.4978,True
flash,128k,32771,512,10,1024,0.523,sglang_v2,59.1048,59.1048,True
flash,128k,32771,512,10,1024,0.523,flashinfer_topk,79.8887,79.8887,True
flash,256k,65538,512,10,1,0.193,gvr_pr,14.2943,14.2943,True
flash,256k,65538,512,10,1,0.193,radix_cutedsl,19.2045,19.2045,True
flash,256k,65538,512,10,1,0.193,sglang_v2,10.3327,10.3327,True
flash,256k,65538,512,10,1,0.193,flashinfer_topk,13.3567,13.3567,True
flash,256k,65538,512,10,2,0.193,gvr_pr,14.1631,14.1631,True
flash,256k,65538,512,10,2,0.193,radix_cutedsl,19.9726,19.9726,True
flash,256k,65538,512,10,2,0.193,sglang_v2,10.387,10.387,True
flash,256k,65538,512,10,2,0.193,flashinfer_topk,13.3678,13.3678,True
flash,256k,65538,512,10,4,0.193,gvr_pr,14.323,14.323,True
flash,256k,65538,512,10,4,0.193,radix_cutedsl,20.1758,20.1758,True
flash,256k,65538,512,10,4,0.193,sglang_v2,10.3663,10.3663,True
flash,256k,65538,512,10,4,0.193,flashinfer_topk,13.6319,13.6319,True
flash,256k,65538,512,10,8,0.193,gvr_pr,14.6639,14.6639,True
flash,256k,65538,512,10,8,0.193,radix_cutedsl,20.8989,20.8989,True
flash,256k,65538,512,10,8,0.193,sglang_v2,10.5455,10.5455,True
flash,256k,65538,512,10,8,0.193,flashinfer_topk,13.9501,13.9501,True
flash,256k,65538,512,10,16,0.193,gvr_pr,15.051,15.051,True
flash,256k,65538,512,10,16,0.193,radix_cutedsl,21.2973,21.2973,True
flash,256k,65538,512,10,16,0.193,sglang_v2,13.1198,13.1198,True
flash,256k,65538,512,10,16,0.193,flashinfer_topk,17.3085,17.3085,True
