cell,BS,arm,cold_us,warm_us,exact
flash_4k_L42,1024,gvr_pr,36.1248,32.8,1
flash_4k_L42,1024,bsx,18.4577,16.633599999999998,1
flash_512k_L02,1,gvr_pr,15.696,12.9728,1
flash_512k_L02,1,bsx,9.0336,8.2944,1
flash_512k_L02,2,gvr_pr,15.446399999999999,13.1776,1
flash_512k_L02,2,bsx,9.4625,8.6528,1
flash_512k_L02,4,gvr_pr,15.836799999999998,13.5618,1
flash_512k_L02,4,bsx,9.632,8.7488,1
flash_512k_L02,8,gvr_pr,16.886400000000002,14.457600000000001,1
flash_512k_L02,8,bsx,16.1728,14.336,1
flash_512k_L02,16,gvr_pr,17.4336,14.6432,1
flash_512k_L02,16,bsx,15.5936,13.2226,1
flash_512k_L02,32,gvr_pr,18.5504,15.232,1
flash_512k_L02,32,bsx,17.216099999999997,14.0736,1
flash_512k_L02,64,gvr_pr,23.7315,18.5088,1
flash_512k_L02,64,bsx,21.2864,16.3328,1
flash_512k_L02,128,gvr_pr,33.5713,21.4144,1
flash_512k_L02,128,bsx,31.046599999999998,20.857599999999998,1
flash_512k_L02,256,gvr_pr,63.7057,53.945800000000006,1
flash_512k_L02,256,bsx,44.4929,32.9026,1
flash_512k_L02,512,gvr_pr,114.08030000000001,103.386,1
flash_512k_L02,512,bsx,78.237,67.20660000000001,1
flash_512k_L02,1024,gvr_pr,204.8646,194.88039999999998,1
flash_512k_L02,1024,bsx,139.3603,125.53,1
flash_512k_L22,1,gvr_pr,21.993599999999997,19.2832,1
flash_512k_L22,1,bsx,9.6768,9.0562,1
flash_512k_L22,2,gvr_pr,21.712,19.430400000000002,1
flash_512k_L22,2,bsx,9.811200000000001,9.1904,1
flash_512k_L22,4,gvr_pr,22.0864,19.910400000000003,1
flash_512k_L22,4,bsx,10.329600000000001,9.510399999999999,1
flash_512k_L22,8,gvr_pr,24.073700000000002,21.8624,1
flash_512k_L22,8,bsx,16.9376,15.3088,1
flash_512k_L22,16,gvr_pr,24.6144,22.0672,1
flash_512k_L22,16,bsx,17.3568,14.8032,1
flash_512k_L22,32,gvr_pr,25.9874,23.008,1
flash_512k_L22,32,bsx,18.796799999999998,15.820799999999998,1
flash_512k_L22,64,gvr_pr,34.8544,29.8432,1
flash_512k_L22,64,bsx,22.5153,17.7152,1
flash_512k_L22,128,gvr_pr,45.7601,34.848,1
flash_512k_L22,128,bsx,31.600099999999998,20.6402,1
flash_512k_L22,256,gvr_pr,120.1537,109.9392,1
flash_512k_L22,256,bsx,45.0432,33.408199999999994,1
flash_512k_L22,512,gvr_pr,216.4032,206.9058,1
flash_512k_L22,512,bsx,79.3827,68.14739999999999,1
flash_512k_L22,1024,gvr_pr,406.3845,398.5668,1
flash_512k_L22,1024,bsx,140.7074,127.4688,1
flash_512k_L42,1,gvr_pr,16.0896,13.3698,1
flash_512k_L42,1,bsx,8.7264,8.0128,1
flash_512k_L42,2,gvr_pr,15.744,13.459200000000001,1
flash_512k_L42,2,bsx,8.912,8.1088,1
flash_512k_L42,4,gvr_pr,16.0896,13.8816,1
flash_512k_L42,4,bsx,9.376,8.48,1
flash_512k_L42,8,gvr_pr,16.6688,14.393600000000001,1
flash_512k_L42,8,bsx,15.8465,14.028799999999999,1
flash_512k_L42,16,gvr_pr,17.206400000000002,14.528,1
flash_512k_L42,16,bsx,16.3201,13.7728,1
flash_512k_L42,32,gvr_pr,18.4321,15.0784,1
flash_512k_L42,32,bsx,17.9617,14.7968,1
flash_512k_L42,64,gvr_pr,24.0001,18.7712,1
flash_512k_L42,64,bsx,22.8193,18.3168,1
flash_512k_L42,128,gvr_pr,33.5264,21.6512,1
flash_512k_L42,128,bsx,31.8785,21.4848,1
flash_512k_L42,256,gvr_pr,63.9552,54.144,1
flash_512k_L42,256,bsx,44.784,33.8816,1
flash_512k_L42,512,gvr_pr,114.5377,103.7248,1
flash_512k_L42,512,bsx,79.1585,68.79360000000001,1
flash_512k_L42,1024,gvr_pr,205.629,195.6034,1
flash_512k_L42,1024,bsx,141.6131,128.205,1
flash_64k_L02,1,gvr_pr,10.7136,8.345600000000001,1
flash_64k_L02,1,bsx,8.4224,7.904,1
flash_64k_L02,2,gvr_pr,10.092799999999999,8.345600000000001,1
flash_64k_L02,2,bsx,8.5984,7.7951999999999995,1
flash_64k_L02,4,gvr_pr,10.124799999999999,8.4032,1
flash_64k_L02,4,bsx,8.8384,8.2624,1
flash_64k_L02,8,gvr_pr,10.124799999999999,8.377600000000001,1
