cell,BS,arm,cold_us,warm_us,exact
pro_256k_L60,64,bsx,20.784,17.3184,1
pro_256k_L60,128,gvr_pr,20.851200000000002,15.980799999999999,1
pro_256k_L60,128,bsx,24.3072,18.6048,1
pro_256k_L60,256,gvr_pr,32.368,22.470200000000002,1
pro_256k_L60,256,bsx,32.326299999999996,23.8974,1
pro_256k_L60,512,gvr_pr,61.0751,50.4704,1
pro_256k_L60,512,bsx,59.8366,52.806400000000004,1
pro_256k_L60,1024,gvr_pr,100.8446,86.822,1
pro_256k_L60,1024,bsx,106.31660000000001,97.4144,1
pro_32k_L02,1,gvr_pr,11.76,9.4976,1
pro_32k_L02,1,bsx,7.142399999999999,6.771199999999999,1
pro_32k_L02,2,gvr_pr,11.9424,9.472,1
pro_32k_L02,2,bsx,7.1456,6.6944,1
pro_32k_L02,4,gvr_pr,11.8976,9.510399999999999,1
pro_32k_L02,4,bsx,7.1552,6.771199999999999,1
pro_32k_L02,8,gvr_pr,11.7409,9.446399999999999,1
pro_32k_L02,8,bsx,7.2256,6.784,1
pro_32k_L02,16,gvr_pr,11.6097,9.766399999999999,1
pro_32k_L02,16,bsx,7.5425,7.1808000000000005,1
pro_32k_L02,32,gvr_pr,11.744,10.0034,1
pro_32k_L02,32,bsx,7.715199999999999,7.149,1
pro_32k_L02,64,gvr_pr,11.8656,10.092799999999999,1
pro_32k_L02,64,bsx,7.936100000000001,7.2898000000000005,1
pro_32k_L02,128,gvr_pr,12.3424,10.297600000000001,1
pro_32k_L02,128,bsx,8.460799999999999,7.4176,1
pro_32k_L02,256,gvr_pr,14.4161,12.172799999999999,1
pro_32k_L02,256,bsx,14.9312,12.1216,1
pro_32k_L02,512,gvr_pr,26.6049,22.8352,1
pro_32k_L02,512,bsx,27.1745,22.438599999999997,1
pro_32k_L02,1024,gvr_pr,48.2145,41.5938,1
pro_32k_L02,1024,bsx,50.9632,42.073800000000006,1
pro_64k_L32,1,gvr_pr,11.587200000000001,9.4976,1
pro_64k_L32,1,bsx,9.036700000000002,8.416,1
pro_64k_L32,2,gvr_pr,10.918299999999999,9.472,1
pro_64k_L32,2,bsx,9.088,8.5312,1
pro_64k_L32,4,gvr_pr,10.9248,9.4526,1
pro_64k_L32,4,bsx,9.088,8.492799999999999,1
pro_64k_L32,8,gvr_pr,10.9376,9.568,1
pro_64k_L32,8,bsx,9.1455,8.544,1
pro_64k_L32,16,gvr_pr,10.9792,9.4528,1
pro_64k_L32,16,bsx,9.28,8.6206,1
pro_64k_L32,32,gvr_pr,11.0559,9.555200000000001,1
pro_64k_L32,32,bsx,9.696,8.7424,1
pro_64k_L32,64,gvr_pr,11.5136,9.606399999999999,1
pro_64k_L32,64,bsx,13.9296,12.9664,1
pro_64k_L32,128,gvr_pr,12.2527,9.6894,1
pro_64k_L32,128,bsx,15.8943,12.7614,1
pro_64k_L32,256,gvr_pr,15.2448,12.4352,1
pro_64k_L32,256,bsx,18.9408,15.2256,1
pro_64k_L32,512,gvr_pr,27.7023,23.2702,1
pro_64k_L32,512,bsx,34.959900000000005,29.0688,1
pro_64k_L32,1024,gvr_pr,49.855599999999995,41.004599999999996,1
pro_64k_L32,1024,bsx,64.5918,53.542199999999994,1
v32_128k_L03,1,gvr_pr,19.1264,16.979200000000002,1
v32_128k_L03,1,bsx,10.460799999999999,9.907200000000001,1
v32_128k_L03,2,gvr_pr,18.729599999999998,17.145599999999998,1
v32_128k_L03,2,bsx,10.8929,10.329600000000001,1
v32_128k_L03,4,gvr_pr,19.0433,17.6192,1
v32_128k_L03,4,bsx,11.04,10.412799999999999,1
v32_128k_L03,8,gvr_pr,20.4896,18.1696,1
v32_128k_L03,8,bsx,18.2912,16.8706,1
v32_128k_L03,16,gvr_pr,21.046400000000002,18.528,1
v32_128k_L03,16,bsx,26.5216,23.9042,1
v32_128k_L03,32,gvr_pr,22.1504,18.6688,1
v32_128k_L03,32,bsx,28.1313,25.203200000000002,1
v32_128k_L03,64,gvr_pr,26.2848,21.7472,1
v32_128k_L03,64,bsx,33.6193,28.608,1
v32_128k_L03,128,gvr_pr,34.464,25.3312,1
v32_128k_L03,128,bsx,41.3666,30.470599999999997,1
v32_128k_L03,256,gvr_pr,68.4897,57.376,1
v32_128k_L03,256,bsx,55.7442,46.0418,1
v32_128k_L03,512,gvr_pr,123.20360000000001,112.9092,1
v32_128k_L03,512,bsx,101.25139999999999,92.7362,1
v32_128k_L03,1024,gvr_pr,222.6791,211.7124,1
v32_128k_L03,1024,bsx,177.8304,169.13320000000002,1
v32_256k_L03,1,gvr_pr,20.1184,17.504,1
v32_256k_L03,1,bsx,11.12,10.6368,1
v32_256k_L03,2,gvr_pr,19.6032,17.5552,1
v32_256k_L03,2,bsx,11.3344,10.8096,1
v32_256k_L03,4,gvr_pr,19.8048,17.9264,1
v32_256k_L03,4,bsx,11.84,11.1488,1
v32_256k_L03,8,gvr_pr,21.686400000000003,18.5792,1
v32_256k_L03,8,bsx,19.308799999999998,17.7792,1
v32_256k_L03,16,gvr_pr,22.208099999999998,18.8992,1
v32_256k_L03,16,bsx,22.032,19.398400000000002,1
v32_256k_L03,32,gvr_pr,23.504099999999998,19.104,1
v32_256k_L03,32,bsx,23.5649,20.467200000000002,1
