model,isl,N,K,L,BS,hit,compB_us,compB_span,gvr_pr_us,gvr_pr_span,sgl_us,radix_us,fi_us,sgl_span,radix_span,fi_span,gvr2_ratio,drift,exact_compB
flash,256k,65538,512,34,1024,0.6309,8301.6451,8562.0752,455.967,455.967,93.8293,395.1183,111.8021,93.8293,395.1183,111.8021,1.0002,4.5878,True
flash,32k,8195,512,10,1,0.7227,6.7984,6.7984,10.3152,10.3152,6.5632,9.2768,11.7200,6.5632,9.2768,11.72,0.9924,1.1025,True
flash,32k,8195,512,10,2,0.7227,13.4895,13.7439,9.7614,9.7614,6.2832,9.2816,11.6288,6.2832,9.2816,11.6288,0.9976,1.0376,True
flash,32k,8195,512,10,4,0.7227,26.9982,27.7614,9.9951,9.9951,6.1328,9.3120,11.6992,6.1328,9.312,11.6992,0.9862,1.0517,True
flash,32k,8195,512,10,8,0.7227,53.9499,55.7499,10.0831,10.0831,6.1136,9.4048,11.8272,6.1136,9.4048,11.8272,0.988,1.0558,True
flash,32k,8195,512,10,16,0.7227,106.636,110.4711,10.1183,10.1183,6.1776,9.4752,14.8544,6.1776,9.4752,14.8544,0.9931,1.0726,True
flash,32k,8195,512,10,32,0.7227,212.1679,220.0734,10.3023,10.3023,6.3184,9.5744,15.2896,6.3184,9.5744,15.2896,0.9916,1.0795,True
flash,32k,8195,512,10,64,0.7227,422.79,438.8683,10.5248,10.5248,6.5056,9.8400,14.8416,6.5056,9.84,14.8416,1.005,1.0733,True
flash,32k,8195,512,10,128,0.7227,844.7896,877.1191,11.1887,11.1887,7.0208,10.3424,15.0736,7.0208,10.3424,15.0736,0.9909,1.0916,True
flash,32k,8195,512,10,256,0.7227,1687.6389,1752.6221,20.3518,20.3518,9.0289,18.6384,14.0208,9.0289,18.6384,14.0208,1.0006,1.6449,True
flash,32k,8195,512,10,512,0.7227,3374.732,3504.9147,37.8668,37.8668,15.4576,34.6096,24.5488,15.4576,34.6096,24.5488,1.0044,1.7059,True
flash,32k,8195,512,10,1024,0.7227,6749.3576,7010.1205,66.3674,66.3674,25.3744,58.5936,41.4480,25.3744,58.5936,41.448,0.9997,1.6585,True
flash,32k,8195,512,22,1,0.6855,6.2047,6.2047,10.2512,10.2512,5.5089,8.9600,11.2241,5.5089,8.96,11.2241,1.0106,1.1037,True
flash,32k,8195,512,22,2,0.6855,12.2688,12.5424,10.1296,10.1296,5.9200,8.9216,11.3424,5.92,8.9216,11.3424,0.997,1.1245,True
flash,32k,8195,512,22,4,0.6855,24.5727,25.3438,9.9616,9.9616,5.8416,9.0592,11.6192,5.8416,9.0592,11.6192,1.0112,1.1045,True
flash,32k,8195,512,22,8,0.6855,49.0093,50.8013,9.9215,9.9215,5.9488,9.1040,11.9072,5.9488,9.104,11.9072,1.004,1.0751,True
flash,32k,8195,512,22,16,0.6855,97.0825,100.9209,10.2079,10.2079,6.0432,9.3056,14.1728,6.0432,9.3056,14.1728,1.0036,1.0748,True
flash,32k,8195,512,22,32,0.6855,192.6819,200.6115,10.4527,10.4527,6.0976,9.4784,14.9265,6.0976,9.4784,14.9265,0.9884,1.0903,True
flash,32k,8195,512,22,64,0.6855,384.4725,400.6517,10.6959,10.6959,6.3264,9.6400,14.3728,6.3264,9.64,14.3728,0.9996,1.0814,True
flash,32k,8195,512,22,128,0.6855,767.9116,800.4314,11.2416,11.2416,6.8784,10.1952,14.8881,6.8784,10.1952,14.8881,0.9952,1.0826,True
flash,32k,8195,512,22,256,0.6855,1534.3961,1599.706,20.5085,20.5085,8.7680,18.2976,13.3056,8.768,18.2976,13.3056,0.9996,1.6398,True
flash,32k,8195,512,22,512,0.6855,3069.9473,3200.9911,38.1886,38.1886,15.1233,34.0049,23.3217,15.1233,34.0049,23.3217,1.0016,1.7053,True
flash,32k,8195,512,22,1024,0.6855,6139.6814,6402.1951,66.8924,66.8924,24.5056,57.4866,39.3552,24.5056,57.4866,39.3552,0.9999,1.6414,True
flash,32k,8195,512,34,1,0.6699,6.5472,6.5472,10.6511,10.6511,6.4832,9.1408,11.7936,6.4832,9.1408,11.7936,1.0017,1.1667,True
flash,32k,8195,512,34,2,0.6699,12.931,13.1903,10.0687,10.0687,6.1456,9.1072,11.7248,6.1456,9.1072,11.7248,1.0008,1.1306,True
flash,32k,8195,512,34,4,0.6699,25.8606,26.6223,10.2943,10.2943,6.2352,9.3888,11.7648,6.2352,9.3888,11.7648,0.9865,1.1524,True
flash,32k,8195,512,34,8,0.6699,51.7996,53.5676,10.3742,10.3742,6.1696,9.3440,11.9744,6.1696,9.344,11.9744,1.0104,1.1393,True
flash,32k,8195,512,34,16,0.6699,102.148,105.9848,10.3968,10.3968,6.1840,9.4449,15.1632,6.184,9.4449,15.1632,0.9989,1.1175,True
flash,32k,8195,512,34,32,0.6699,203.0371,210.9571,10.4095,10.4095,6.3184,9.5360,15.5345,6.3184,9.536,15.5345,1.0072,1.0969,True
flash,32k,8195,512,34,64,0.6699,404.5988,420.6962,10.6911,10.6911,6.4336,9.6912,14.9392,6.4336,9.6912,14.9392,0.9922,1.0995,True
flash,32k,8195,512,34,128,0.6699,807.9767,840.3732,11.2064,11.2064,6.9104,10.2928,15.0400,6.9104,10.2928,15.04,0.9974,1.093,True
flash,32k,8195,512,34,256,0.6699,1614.4011,1679.556,20.6031,20.6031,8.9008,18.3392,13.9824,8.9008,18.3392,13.9824,0.9944,1.6652,True
flash,32k,8195,512,34,512,0.6699,3226.2524,3356.896,38.1213,38.1213,15.2689,34.0720,24.4064,15.2689,34.072,24.4064,1.0045,1.7091,True
flash,32k,8195,512,34,1024,0.6699,6452.5373,6713.9808,66.8155,66.8155,24.8113,57.6624,41.2576,24.8113,57.6624,41.2576,1.0001,1.6577,True
