model,isl,N,K,L,BS,hit,cs,op,us,us_span,exact
flash,256k,65538,512,22,64,0.2793,4,gvr_pr,31.227,31.227,True
flash,256k,65538,512,22,64,0.2793,,kf_compB,526.7926,542.7989,True
flash,256k,65538,512,22,128,0.2793,4,gvr_pr,59.8269,59.8269,True
flash,256k,65538,512,22,128,0.2793,,kf_compB,1050.8462,1083.0571,True
flash,256k,65538,512,22,256,0.2793,4,gvr_pr,116.841,116.841,True
flash,256k,65538,512,22,256,0.2793,,kf_compB,2108.2807,2173.0837,True
flash,256k,65538,512,22,512,0.2793,4,gvr_pr,227.3957,227.3957,True
flash,256k,65538,512,22,512,0.2793,,kf_compB,4217.0863,4346.9177,True
flash,256k,65538,512,22,1024,0.2793,4,gvr_pr,444.4762,444.4762,True
flash,256k,65538,512,22,1024,0.2793,,kf_compB,8401.1333,8661.0327,True
flash,256k,65538,512,34,1,0.6309,4,gvr_pr,15.0704,15.0704,True
flash,256k,65538,512,34,1,0.6309,,kf_compB,8.592,8.592,True
flash,256k,65538,512,34,2,0.6309,4,gvr_pr,14.9424,14.9424,True
flash,256k,65538,512,34,2,0.6309,,kf_compB,16.8879,17.1439,True
flash,256k,65538,512,34,4,0.6309,4,gvr_pr,15.624,15.624,True
flash,256k,65538,512,34,4,0.6309,,kf_compB,33.4255,34.1951,True
flash,256k,65538,512,34,8,0.6309,4,gvr_pr,15.9134,15.9134,True
flash,256k,65538,512,34,8,0.6309,,kf_compB,66.5199,68.3023,True
flash,256k,65538,512,34,16,0.6309,4,gvr_pr,16.2047,16.2047,True
flash,256k,65538,512,34,16,0.6309,,kf_compB,131.5037,135.3261,True
flash,256k,65538,512,34,32,0.6309,4,gvr_pr,17.1584,17.1584,True
flash,256k,65538,512,34,32,0.6309,,kf_compB,261.5643,269.449,True
flash,256k,65538,512,34,64,0.6309,4,gvr_pr,31.9327,31.9327,True
flash,256k,65538,512,34,64,0.6309,,kf_compB,519.639,535.6996,True
flash,256k,65538,512,34,128,0.6309,4,gvr_pr,61.2734,61.2734,True
flash,256k,65538,512,34,128,0.6309,,kf_compB,1036.7865,1069.1304,True
flash,256k,65538,512,34,256,0.6309,4,gvr_pr,119.6574,119.6574,True
flash,256k,65538,512,34,256,0.6309,,kf_compB,2079.4004,2144.2769,True
flash,256k,65538,512,34,512,0.6309,4,gvr_pr,233.848,233.848,True
flash,256k,65538,512,34,512,0.6309,,kf_compB,4167.6612,4297.6768,True
flash,256k,65538,512,34,1024,0.6309,4,gvr_pr,455.967,455.967,True
flash,256k,65538,512,34,1024,0.6309,,kf_compB,8301.6451,8562.0752,True
flash,32k,8195,512,10,1,0.7227,1,gvr_pr,10.3152,10.3152,True
flash,32k,8195,512,10,1,0.7227,,kf_compB,6.7984,6.7984,True
flash,32k,8195,512,10,2,0.7227,1,gvr_pr,9.7614,9.7614,True
flash,32k,8195,512,10,2,0.7227,,kf_compB,13.4895,13.7439,True
flash,32k,8195,512,10,4,0.7227,1,gvr_pr,9.9951,9.9951,True
flash,32k,8195,512,10,4,0.7227,,kf_compB,26.9982,27.7614,True
flash,32k,8195,512,10,8,0.7227,1,gvr_pr,10.0831,10.0831,True
flash,32k,8195,512,10,8,0.7227,,kf_compB,53.9499,55.7499,True
flash,32k,8195,512,10,16,0.7227,1,gvr_pr,10.1183,10.1183,True
flash,32k,8195,512,10,16,0.7227,,kf_compB,106.636,110.4711,True
flash,32k,8195,512,10,32,0.7227,1,gvr_pr,10.3023,10.3023,True
flash,32k,8195,512,10,32,0.7227,,kf_compB,212.1679,220.0734,True
flash,32k,8195,512,10,64,0.7227,1,gvr_pr,10.5248,10.5248,True
flash,32k,8195,512,10,64,0.7227,,kf_compB,422.79,438.8683,True
flash,32k,8195,512,10,128,0.7227,1,gvr_pr,11.1887,11.1887,True
flash,32k,8195,512,10,128,0.7227,,kf_compB,844.7896,877.1191,True
flash,32k,8195,512,10,256,0.7227,1,gvr_pr,20.3518,20.3518,True
flash,32k,8195,512,10,256,0.7227,,kf_compB,1687.6389,1752.6221,True
flash,32k,8195,512,10,512,0.7227,1,gvr_pr,37.8668,37.8668,True
flash,32k,8195,512,10,512,0.7227,,kf_compB,3374.732,3504.9147,True
flash,32k,8195,512,10,1024,0.7227,1,gvr_pr,66.3674,66.3674,True
flash,32k,8195,512,10,1024,0.7227,,kf_compB,6749.3576,7010.1205,True
flash,32k,8195,512,22,1,0.6855,1,gvr_pr,10.2512,10.2512,True
flash,32k,8195,512,22,1,0.6855,,kf_compB,6.2047,6.2047,True
flash,32k,8195,512,22,2,0.6855,1,gvr_pr,10.1296,10.1296,True
flash,32k,8195,512,22,2,0.6855,,kf_compB,12.2688,12.5424,True
flash,32k,8195,512,22,4,0.6855,1,gvr_pr,9.9616,9.9616,True
flash,32k,8195,512,22,4,0.6855,,kf_compB,24.5727,25.3438,True
flash,32k,8195,512,22,8,0.6855,1,gvr_pr,9.9215,9.9215,True
flash,32k,8195,512,22,8,0.6855,,kf_compB,49.0093,50.8013,True
flash,32k,8195,512,22,16,0.6855,1,gvr_pr,10.2079,10.2079,True
flash,32k,8195,512,22,16,0.6855,,kf_compB,97.0825,100.9209,True
flash,32k,8195,512,22,32,0.6855,1,gvr_pr,10.4527,10.4527,True
flash,32k,8195,512,22,32,0.6855,,kf_compB,192.6819,200.6115,True
flash,32k,8195,512,22,64,0.6855,1,gvr_pr,10.6959,10.6959,True
flash,32k,8195,512,22,64,0.6855,,kf_compB,384.4725,400.6517,True
flash,32k,8195,512,22,128,0.6855,1,gvr_pr,11.2416,11.2416,True
flash,32k,8195,512,22,128,0.6855,,kf_compB,767.9116,800.4314,True
flash,32k,8195,512,22,256,0.6855,1,gvr_pr,20.5085,20.5085,True
flash,32k,8195,512,22,256,0.6855,,kf_compB,1534.3961,1599.706,True
flash,32k,8195,512,22,512,0.6855,1,gvr_pr,38.1886,38.1886,True
flash,32k,8195,512,22,512,0.6855,,kf_compB,3069.9473,3200.9911,True
flash,32k,8195,512,22,1024,0.6855,1,gvr_pr,66.8924,66.8924,True
flash,32k,8195,512,22,1024,0.6855,,kf_compB,6139.6814,6402.1951,True
flash,32k,8195,512,34,1,0.6699,1,gvr_pr,10.6511,10.6511,True
flash,32k,8195,512,34,1,0.6699,,kf_compB,6.5472,6.5472,True
flash,32k,8195,512,34,2,0.6699,1,gvr_pr,10.0687,10.0687,True
flash,32k,8195,512,34,2,0.6699,,kf_compB,12.931,13.1903,True
